prompt,completion,rouge-l
This hit,me hard. I’m a 30{},0.0
That ice cold,water is a shock to the system. “{},0.0
Michelle Pfeiffer,"), a woman who is not only beautiful but{}",0.0
That white gold,is a bit too shiny for me. I like{},0.1111111111111111
"This one, for them hood girls","."" ""I'm a hood girl{}",0.2
Them good girls,always want the baddest boys Good girls{},0.0
Straight masterpieces,. The 1970s were{},0.0
"Stylin’, while in","the 1990s, he was{}",0.25
Livin’ it up in the city,” “I’m a big city girl{},0.0
Got Chucks on with Saint Laurent,"Got Chucks on with Saint Laurent,{}",0.16666666666666666
Got kiss myself I’m so pretty,I’m so pretty I’m{},0.3333333333333333
I’m too hot (hot damn),Make a muthafucka want a{},0.4
Called a police and a fireman,", but they didn't come. I{}",0.16666666666666666
I’m too hot (hot damn),Make a muthafucka want a{},0.4
Make a dragon wanna retire man,. I'm not sure if I'{},0.3333333333333333
I’m too hot (hot damn),Make a muthafucka want a{},0.0
Say my name you know who I am,I'm the one who's gonna{},0.2857142857142857
I’m too hot (hot damn),Make a muthafucka want a{},0.0
Am I bad ’bout that money,? I’m bad ’bout that money{},0.0
Break it down,. The first thing to do is to break{},0.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},1.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},1.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.5
Saturday night and we in the spot,", we in the spot We in the spot{}",0.0
Don’t believe me just watch (come on),Don’t believe me just watch (come{},0.8571428571428571
Don’t believe me just watch,.” The song is a great example of{},0.0
Don’t believe me just watch,.” The song is a great example of{},0.0
Don’t believe me just watch,.” The song is a perfect example of{},0.0
Don’t believe me just watch,.” The song is a great example of{},0.0
Don’t believe me just watch,.” The song is a perfect example of{},0.0
"Hey, hey, hey, oh!","Hey, hey, hey, oh! {}",0.0
Stop,(self):         self._stop_{},0.0
Wait a minute,","" I said. ""I'm not{}",0.0
Fill my cup put some liquor in it,Take my mind off of my ex-man{},0.125
"Take a sip, sign a check",", and you're done."" ""{}",0.0
Julio! Get the stretch!,""" ""I'm fine,"" he{}",0.0
"Ride to Harlem, Hollywood, Jackson, Mississippi","Ride to Harlem, Hollywood, Jackson{}",0.0
"If we show up, we gon’ show out","We gon’ show out, we g{}",0.0
Smoother than a fresh dry skippy,. I'm not sure if I'{},0.3333333333333333
I’m too hot (hot damn),Make a muthafucka want a{},0.4
Called a police and a fireman,. The police and fireman came. {},0.0
I’m too hot (hot damn),Make a muthafucka want a{},0.4
Make a dragon wanna retire man,. I'm not sure if I'{},0.3333333333333333
I’m too hot (hot damn) (hot damn),Make a dragon wanna retire Scorchin{},0.0
"Bitch, say my name you know who I am","I'm a motherfucking problem,{}",0.4
I’m too hot (hot damn),Make a muthafucka want a{},0.0
Am I bad ’bout that money,? I’m bad ’bout that money{},0.0
Break it down,. The first thing to do is to break{},0.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},1.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},1.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah ({},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we’re feeling all right{},0.5
