prompt,completion,rouge-l
This hit,了我心，让我无法自拔。,0
That ice cold,水让我感到无比的寒冷。,0
Michelle Pfeiffer,在电影《猫女》中，她扮演,0
That white gold,项链闪烁着耀眼的光芒，仿佛是夜,0
"This one, for them hood girls",，总是能让他们眼前一亮。,0
Them good girls,都爱打扮自己，她们总是穿着得体,0
Straight masterpieces,are the most beautiful and impressive works of art that,0.0
"Stylin’, while in","the world is spinning, I'll be your guide",0.1111111111111111
Livin’ it up in the city,"is what I do best, surrounded by the hustle",0.0
Got Chucks on with Saint Laurent,"I'm sorry, but I can't assist with",0.2222222222222222
Got kiss myself I’m so pretty,"I'm sorry, but as an AI language model",0.2222222222222222
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Called a police and a fireman,会来处理这个问题。,0
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Make a dragon wanna retire man,"But dragons, being creatures of legend and myth,",0.0
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Say my name you know who I am,我叫小明，很高兴认识你。,0
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Am I bad ’bout that money,还是我太贪心了？,0
Break it down,"I'm sorry, but I need more context to",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
Saturday night and we in the spot,"were having a great time, dancing to the music",0.0
Don’t believe me just watch (come on),如果你不相信，那就让我来展示一下吧。,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
"Hey, hey, hey, oh!",What's up?,0.0
Stop,"Please continue writing the sentence after ""stop"".",0.0
Wait a minute,我明白了，您需要等待一段时间。请问您,0
Fill my cup put some liquor in it,"and then pour it into your glass, enjoy the",0.0
"Take a sip, sign a check",and then walk away.,0.0
Julio! Get the stretch!,Julio! Get the stretch! You're not,0.0
"Ride to Harlem, Hollywood, Jackson, Mississippi",and beyond. This journey through the heart of America,0.0
"If we show up, we gon’ show out",不管遇到什么困难，我们都要坚持下去。,0
Smoother than a fresh dry skippy,毛巾，它柔软得就像刚洗过的干,0
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Called a police and a fireman,会来处理这个问题。,0
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Make a dragon wanna retire man,"But dragons, being creatures of legend and myth,",0.0
I’m too hot (hot damn) (hot damn),太热了，我受不了！,0
"Bitch, say my name you know who I am","Sorry, but I can't assist with that.",0.125
I’m too hot (hot damn),这个短语的意思是“我太热了,0
Am I bad ’bout that money,还是我太贪心了？,0
Break it down,"I'm sorry, but I need more context to",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
Girls hit your hallelujah (whuoo),"I'm sorry, but I can't assist with",0.0
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
‘Cause Uptown Funk gon’ give it to you,It's the perfect tune for any party or dance,0.1
Saturday night and we in the spot,"were having a great time, dancing to the music",0.0
Don’t believe me just watch (come on),如果你不相信，那就让我来展示一下吧。,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
Don’t believe me just watch,我将为您展示如何使用这个功能。首先,0
"Hey, hey, hey, oh!",What's up?,0.0
Before we leave,，我需要知道你有什么特别的需求或问题,0
Imma tell y’all a lil’ something,关于我最近发现的一个有趣的事情，那就是在,0
"Uptown Funk you up, Uptown Funk you up",Let's get down to the beat of this song,0.0
"Uptown Funk you up, Uptown Funk you up",Let's get down to the beat of this song,0.0
"I said Uptown Funk you up, Uptown Funk you up",It's a fun and catchy song by Mark Ron,0.0
"Uptown Funk you up, Uptown Funk you up",Let's get down to the beat of this song,0.0
"Come on, dance",让我们一起跳起来吧！,0
Jump on it,"I'm sorry, but I don't understand what",0.0
If you sexy than flaunt it,如果你性感，那就大胆地展示出来吧！,0
If you freaky than own it,如果你觉得自己的行为很疯狂，那就接受它,0
"Don’t brag about it, come show me",如果你能展示给我，我将非常高兴。,0
"Come on, dance",让我们一起跳起来吧！,0
Jump on it,"I'm sorry, but I don't understand what",0.0
If you sexy then flaunt it,如果你自信，那么就展示出来。,0
Well it’s Saturday night and we in the spot,"light of the living room, enjoying some good music",0.0
