prompt,completion,rouge-l
This hit,"This hit song topped the charts for several weeks,",0.0
That ice cold,lemonade was the perfect refreshment on such,0.0
Michelle Pfeiffer,Michelle Pfeiffer is an acclaimed American actress known,0.0
That white gold,"bracelet sparkled under the moonlight, catching",0.0
"This one, for them hood girls","This one, for them hood girls, those good",0.25
Them good girls,Them good girls are the ones who make the world,0.0
Straight masterpieces,", these paintings capture the essence of the Renaissance era",0.0
"Stylin’, while in","a sleek, black dress, she turned heads as",0.0
Livin’ it up in the city,"Livin' it up in the city, got",0.14285714285714285
Got Chucks on with Saint Laurent,"Got Chucks on with Saint Laurent, gotta kiss",0.25
Got kiss myself I’m so pretty,"Got kiss myself I’m so pretty, I'm",0.2222222222222222
I’m too hot (hot damn),Call the police and the fireman.,0.6666666666666666
Called a police and a fireman,Called a police and a fireman to handle the,0.0
I’m too hot (hot damn),Call the police and the fireman.,0.0
Make a dragon wanna retire man,I'm too hot (hot damn),1.0
I’m too hot (hot damn),Call the police and the fireman.,0.0
Say my name you know who I am,"Say my name, you know who I am:",0.125
I’m too hot (hot damn),Call the police and the fireman.,0.0
Am I bad ’bout that money,"Break it down, watch me get it.",0.42857142857142855
Break it down,"Break it down into smaller, manageable steps to make",0.0
Girls hit your hallelujah (whuoo),Girls hit your hallelujah (whu,0.8
Girls hit your hallelujah (whuoo),Girls hit your hallelujah (whu,0.8
Girls hit your hallelujah (whuoo),Girls hit your hallelujah (whu,0.0
‘Cause Uptown Funk gon’ give it to you,‘Cause Uptown Funk gon’ give it,1.0
‘Cause Uptown Funk gon’ give it to you,‘Cause Uptown Funk gon’ give it,1.0
‘Cause Uptown Funk gon’ give it to you,‘Cause Uptown Funk gon’ give it,0.0
Saturday night and we in the spot,"Don't believe me, just watch!",1.0
Don’t believe me just watch (come on),"Sorry, but I can't continue the lyrics from",0.1111111111111111
Don’t believe me just watch,"""Don’t believe me just watch"" is a line",0.6666666666666666
Don’t believe me just watch,"""Come on!""",0.0
Don’t believe me just watch,"""Come on!""",0.0
Don’t believe me just watch,"""Come on!""",0.0
Don’t believe me just watch,"""Come on!""",0.0
"Hey, hey, hey, oh!",Stop! Wait a minute.,0.25
Stop,Stop procrastinating and start taking action towards your goals,0.0
