prompt,completion,rouge-l
This hit,the nail on the head. I’{},0.0
That ice cold,water is a great way to wake up your{},0.0
Michelle Pfeiffer,", and the late great Christopher Reeve.{}",0.0
That white gold,is a very good color for a wedding ring{},0.1111111111111111
"This one, for them hood girls",", is a must have. The hood{}",0.0
Them good girls,", and they're good girls. I{}",0.0
Straight masterpieces,. The album is a masterpiece.{},0.0
"Stylin’, while in","the background, the band is playing a song called{}",0.1111111111111111
Livin’ it up in the city,Livin’ it up in the city{},0.0
Got Chucks on with Saint Laurent,", and I’m wearing a Saint Laurent{}",0.2857142857142857
Got kiss myself I’m so pretty,. I’m not sure if I’{},0.3333333333333333
I’m too hot (hot damn),I’m too hot (hot damn{},0.0
Called a police and a fireman,. The fireman came and said it was{},0.0
I’m too hot (hot damn),I’m too hot (hot damn{},0.0
Make a dragon wanna retire man,. I'm not sure if I'{},0.3333333333333333
I’m too hot (hot damn),I’m too hot (hot damn{},0.16666666666666666
Say my name you know who I am,I'm the one that's g{},0.2857142857142857
I’m too hot (hot damn),I’m too hot (hot damn{},0.16666666666666666
Am I bad ’bout that money,? I’m bad ’bout that{},0.0
Break it down,into smaller chunks. If you’re{},0.0
Girls hit your hallelujah (whuoo),I'm gonna hit your halle{},0.3333333333333333
Girls hit your hallelujah (whuoo),I'm gonna hit your halle{},0.3333333333333333
Girls hit your hallelujah (whuoo),I'm gonna hit your halle{},0.0
‘Cause Uptown Funk gon’ give it to you,The song was written by Mark Ronson{},0.0
‘Cause Uptown Funk gon’ give it to you,The song was written by Mark Ronson{},0.0
‘Cause Uptown Funk gon’ give it to you,The song was written by Mark Ronson{},0.14285714285714285
Saturday night and we in the spot,light. The first thing I noticed was the{},0.0
Don’t believe me just watch (come on),"I’m a man of the people,{}",0.0
Don’t believe me just watch,the video below. The video below is a{},0.0
Don’t believe me just watch,the video below. The video below is a{},0.0
Don’t believe me just watch,the video below. The video below is a{},0.0
Don’t believe me just watch,the video below. The video below is a{},0.0
Don’t believe me just watch,the video below. The video below is a{},0.0
"Hey, hey, hey, oh!","I'm a little bit country, I{}",0.0
Stop,"the War Coalition, and the Stop the{}",0.0
Wait a minute,", I'm not sure I'm ready{}",0.0
Fill my cup put some liquor in it,. I'm a little bit of a{},0.2857142857142857
"Take a sip, sign a check",", and you’re done. The only{}",0.16666666666666666
Julio! Get the stretch!,I'm not sure if I'm{},0.0
"Ride to Harlem, Hollywood, Jackson, Mississippi",", and the Black Power Movement The Black{}",0.0
"If we show up, we gon’ show out",. The 2018-1{},0.0
Smoother than a fresh dry skippy,", and with a little more kick than a fresh{}",0.0
I’m too hot (hot damn),I’m too hot (hot damn{},0.0
Called a police and a fireman,. The fireman came and said it was{},0.0
I’m too hot (hot damn),I’m too hot (hot damn{},0.0
Make a dragon wanna retire man,. I'm not sure if I'{},0.3333333333333333
