prompt,completion,rouge-l
This hit,me like a ton of bricks.,0.0
That ice cold,feeling ran down my spine as I stepped out into,0.0
Michelle Pfeiffer,is an American actress known for her versatile performances in,0.0
That white gold,ring is absolutely stunning.,0.0
"This one, for them hood girls","This one, for them hood girls, them good",0.25
Them good girls,love to have fun.,0.0
Straight masterpieces,"are often the result of dedication, talent, and",0.0
"Stylin’, while in","the city, is always a fun and fashionable experience",0.2222222222222222
Livin’ it up in the city,", feeling alive and free.",0.0
Got Chucks on with Saint Laurent,"Gotta kiss myself, I'm so pretty",0.8571428571428571
Got kiss myself I’m so pretty,I'm too fabulous for my own good.,0.375
I’m too hot (hot damn),Call the police and the fireman,0.6666666666666666
Called a police and a fireman,", because there was an emergency situation that required immediate",0.0
I’m too hot (hot damn),Call the police and the fireman,0.0
Make a dragon wanna retire man,"I'm too hot, hot damn, call the",0.75
I’m too hot (hot damn),Call the police and the fireman,0.0
Say my name you know who I am,", because I am unforgettable.",0.25
I’m too hot (hot damn),Call the police and the fireman,0.0
Am I bad ’bout that money,?,0
Break it down,"into smaller, more manageable tasks.",0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,1.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,1.0
Saturday night and we in the spot,"don't believe me, just watch.",1.0
Don’t believe me just watch (come on),Don't believe me just watch (come on),0.75
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
"Hey, hey, hey, oh!","What do you say, let's go!",0.0
Stop,what you are doing and take a moment to breathe,0.1
Wait a minute,", I need to double check something before we proceed",0.0
Fill my cup put some liquor in it,"Fill my cup, put some liquor in it,",0.0
"Take a sip, sign a check",", and enjoy the moment.",0.25
Julio! Get the stretch!,We're heading to the airport!,0.16666666666666666
"Ride to Harlem, Hollywood, Jackson, Mississippi","Ride to Harlem, Hollywood, Jackson, Mississippi",0.0
"If we show up, we gon’ show out",and make sure everyone knows we're here to make,0.0
Smoother than a fresh dry skippy,. peanut butter sandwich,0.0
I’m too hot (hot damn),Call the police and the fireman,0.6666666666666666
Called a police and a fireman,"I'm on fire, hot as a flame.",0.375
I’m too hot (hot damn),Call the police and the fireman,0.0
Make a dragon wanna retire man,"I'm too hot, hot damn, call the",0.75
I’m too hot (hot damn) (hot damn),I'm too hot (hot damn) (hot,0.14285714285714285
"Bitch, say my name you know who I am",.,0
I’m too hot (hot damn),Call the police and the fireman,0.0
Am I bad ’bout that money,", or am I just tryna secure my future",0.0
Break it down,"into smaller, more manageable tasks.",0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,0.0
Girls hit your hallelujah (whuoo),'Cause uptown funk gon' give it to,1.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,0.0
‘Cause Uptown Funk gon’ give it to you,Saturday night and we in the spot,1.0
Saturday night and we in the spot,"don't believe me, just watch.",1.0
Don’t believe me just watch (come on),Don't believe me just watch (come on),0.75
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
"Hey, hey, hey, oh!","What do you say, let's go!",0.0
Before we leave,", we need to make sure we have everything we",0.0
Imma tell y’all a lil’ something,about the importance of self-care and taking care of,0.0
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.2857142857142857
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.2857142857142857
"I said Uptown Funk you up, Uptown Funk you up","I said Uptown Funk you up, U",0.5714285714285714
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.0
"Come on, dance",the night away!,0.0
Jump on it,and ride it like you mean it!,0.2857142857142857
If you sexy than flaunt it,", but remember that true beauty comes from within.",0.0
If you freaky than own it,", embrace it and be proud of it.",0.14285714285714285
"Don’t brag about it, come show me",what you can do.,0.0
"Come on, dance",the night away!,0.0
Jump on it,and ride it like you mean it!,0.2857142857142857
If you sexy then flaunt it,", but always remember to respect yourself and others.",0.125
Well it’s Saturday night and we in the spot,"don't believe me, just watch.",1.0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
Don’t believe me just watch,!,0
"Hey, hey, hey, oh!","What do you say, let's go!",0.2857142857142857
"Uptown Funk you up, Uptown Funk you up (say whaa?!)","Sorry, but I can't continue the lyrics from",0.0
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.2857142857142857
"Uptown Funk you up, Uptown Funk you up (say whaa?!)",Uptown Funk gonna give it to you.,0.42857142857142855
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.2857142857142857
"Uptown Funk you up, Uptown Funk you up (say whaa?!)",Uptown Funk gonna give it to you.,0.42857142857142855
"Uptown Funk you up, Uptown Funk you up",Uptown Funk gonna give it to ya,0.2857142857142857
"Uptown Funk you up, Uptown Funk you up (say whaa?!)",Uptown Funk gonna give it to you.,0.42857142857142855
