prompt,completion,rouge-l
This hit,"This hit single quickly climbed the charts, becoming a",0.0
That ice cold,lemonade was exactly what I needed on such,0.0
Michelle Pfeiffer,is an acclaimed American actress known for her versatile roles,0.0
That white gold,"ring sparkled brilliantly under the soft lighting, catching",0.0
"This one, for them hood girls","and good girls, straight masterpieces.",0.4
Them good girls,Them good girls always bring a smile to everyone's face,0.0
Straight masterpieces,"Straight masterpieces are often celebrated for their impeccable craftsmanship,",0.0
"Stylin’, while in","Stylin’, while in the latest fashion trends,",0.2857142857142857
Livin’ it up in the city,"Livin’ it up in the city, dressed",0.0
Got Chucks on with Saint Laurent,"Got Chucks on with Saint Laurent, gotta kiss",0.25
Got kiss myself I’m so pretty,"Sorry, but I can't continue the lyrics from the",0.1
I’m too hot (hot damn),"""call the police and the fireman.""",0.6666666666666666
Called a police and a fireman,"""Called a police and a fireman, the",0.0
I’m too hot (hot damn),"""Call the police and the fireman.""",0.0
Make a dragon wanna retire man,"Bruno Mars' ""Uptown Funk""",0.0
I’m too hot (hot damn),"""call the police and the fireman.""",0.0
Say my name you know who I am,"""Say my name, you know who I am",0.125
I’m too hot (hot damn),"""Call the police and the fireman.""",0.0
Am I bad ’bout that money,or am I just misunderstood?,0.0
Break it down,"into smaller, manageable parts to better understand and address",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.1
Saturday night and we in the spot,"Sorry, but I can't continue the lyrics from the",0.1
Don’t believe me just watch (come on),"Sorry, but I can't continue the lyrics from the",0.1
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.0
"Hey, hey, hey, oh!","Sorry, but I can't continue the lyrics from that",0.0
Stop,Stop and take a moment to appreciate the little things,0.1
Wait a minute,"Wait a minute, I think I left my keys",0.1111111111111111
Fill my cup put some liquor in it,"""Take a sip, sign a check, Julio",0.8571428571428571
"Take a sip, sign a check",", and let the evening unfold with laughter and stories",0.1111111111111111
Julio! Get the stretch!,Julio! Get the stretch! We need to,0.14285714285714285
"Ride to Harlem, Hollywood, Jackson, Mississippi","and we show up, we gon' show out",0.875
"If we show up, we gon’ show out",smoother than a fresh jar of Skippy,0.7142857142857143
Smoother than a fresh dry skippy,peanut butter spread on a warm piece of toast,0.0
I’m too hot (hot damn),"""call the police and the fireman.""",0.6666666666666666
Called a police and a fireman,"""Called a police and a fireman, the",0.0
I’m too hot (hot damn),"""Call the police and the fireman.""",0.0
Make a dragon wanna retire man,"Bruno Mars' ""Uptown Funk""",0.0
I’m too hot (hot damn) (hot damn),Call the police and the fireman.,0.0
"Bitch, say my name you know who I am","Sorry, but I can't continue the lyrics from that",0.1
I’m too hot (hot damn),"""Call the police and the fireman.""",0.0
Am I bad ’bout that money,"Sorry, but I can't continue the lyrics from the",0.0
Break it down,"into smaller, manageable parts to better understand and address",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
Girls hit your hallelujah (whuoo),"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.0
‘Cause Uptown Funk gon’ give it to you,"Sorry, but I can't continue the lyrics from the",0.1
Saturday night and we in the spot,"Sorry, but I can't continue the lyrics from the",0.1
Don’t believe me just watch (come on),"Sorry, but I can't continue the lyrics from the",0.1
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.0
"Hey, hey, hey, oh!","Sorry, but I can't continue the lyrics from that",0.0
Before we leave,"Before we leave, let's make sure we have everything",0.0
Imma tell y’all a lil’ something,about how I got started in this game. It,0.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.1
"I said Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Come on, dance",with me under the stars. Let's make this night,0.0
Jump on it,and seize the opportunity before it slips away.,0.125
If you sexy than flaunt it,"If you're sexy, then flaunt it.",0.42857142857142855
If you freaky than own it,and don't let anyone dim your shine. Embrace,0.2222222222222222
"Don’t brag about it, come show me",what you can do. Actions speak louder than words,0.0
"Come on, dance","Come on, dance like nobody's watching!",0.14285714285714285
Jump on it,"""Jump on it quickly before the opportunity passes you",0.1111111111111111
If you sexy then flaunt it,", don't be afraid to show your confidence and embrace",0.1
Well it’s Saturday night and we in the spot,"Sorry, but I can't continue the lyrics from the",0.1
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.75
Don’t believe me just watch,as I show you how it's done.,0.0
Don’t believe me just watch,"""Don’t believe me just watch"" is a",0.0
"Hey, hey, hey, oh!","Sorry, but I can't continue the lyrics from that",0.0
"Uptown Funk you up, Uptown Funk you up (say whaa?!)","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up (say whaa?!)","Uptown Funk you up, Uptown Funk",1.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up (say whaa?!)","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up","Sorry, but I can't continue the lyrics from the",0.0
"Uptown Funk you up, Uptown Funk you up (say whaa?!)","Sorry, but I can't continue the lyrics from the",0.0
