prompt,completion,rouge-l
Coming out of my cage,and I've been doing just fine.,0.8571428571428571
And I been doing just fine,Gotta gotta be down because I want it all,0.4444444444444444
Gotta gotta be down,because I want it all.,1.0
Because I want it all,"or nothing at all, I'm determined to give",0.0
It started out with a kiss,"It started out with a kiss, how did it",0.3333333333333333
How did it end up like this,"? It was only a kiss, it was only",0.625
It was only a kiss,", but it lingered in my mind long after",0.125
It was only a kiss,", but it lingered in my mind long after",0.0
Now I falling asleep,and I'm calling a cab.,0.6666666666666666
And she calling a cab,", while he's having a smoke, and she",0.625
While he having a smoke,"outside, he noticed the sky turning an ominous shade",0.0
And she taking a drag,"from her cigarette, exhaled slowly, watching the",0.0
Now they going to bed,Now they are going to bed.,0.0
And my stomach is sick,"and it's all in my head, but she",0.6666666666666666
And it all in my head,", but it felt so real, the echoes of",0.125
But she touching his chest now,"But she, touching his chest now, felt the",0.125
He takes off her dress now,", letting it fall gently to the floor as they",0.1111111111111111
Let me go,to the store to pick up some groceries.,0.0
And I just can look it killing me,", but I have to walk away to save myself",0.0
And taking control,"of the situation, she confidently steered the team",0.125
Jealousy turning saints into the sea,"is a lyric from the song ""Mr. Bright",0.0
Swimming through sick lullabies,", choking on your alibis.",1.0
Choking on your alibis,Choking on your alibis is a line,0.0
But it just the price I pay,"But it's just the price I pay, destiny",0.1111111111111111
Destiny is calling me,"open up my eager eyes, 'cause I'm",0.625
Open up my eager eyes,'cause I'm Mr. Brightside.,0.8
Cause I Mr Brightside,", I'm coming out of my cage and I",0.6666666666666666
I coming out of my cage,and I've been doing just fine.,0.8571428571428571
And I been doing just fine,Gotta gotta be down because I want it all,0.4444444444444444
Gotta gotta be down,because I want it all.,1.0
Because I want it all,"and I want it now, I'm determined to",0.1111111111111111
It started out with a kiss,"It started out with a kiss, how did it",0.3333333333333333
How did it end up like this,"? It was only a kiss, it was only",0.625
It was only a kiss,", but it lingered in my mind long after",0.0
Now I falling asleep,"and drifting into dreams, where my thoughts weave into",0.1111111111111111
And she calling a cab,", while he's having a smoke, and she",0.625
While he having a smoke,"outside, he noticed the sky turning an ominous shade",0.0
And she taking a drag,"from her cigarette, exhaled slowly, watching the",0.0
Now they going to bed,Now they are going to bed.,0.0
And my stomach is sick,"and it's all in my head, but she",0.6666666666666666
And it all in my head,", but it felt so real, like a vivid",0.125
But she touching his chest now,"But she, touching his chest now, felt the",0.125
He takes off her dress now,", letting it fall gently to the floor as they",0.1111111111111111
Let me go,to the store to pick up some groceries.,0.0
Cause I just can look it killing me,and taking control.,1.0
And taking control,"of the situation, she confidently navigated the team",0.125
Jealousy turning saints into the sea,"is a lyric from the song ""Mr. Bright",0.0
Swimming through sick lullabies,"Swimming through sick lullabies, choking on",0.3333333333333333
Choking on your alibis,Choking on your alibis is a line,0.0
But it just the price I pay,", destiny is calling me.",1.0
Destiny is calling me,"open up my eager eyes, 'cause I'm",0.625
Open up my eager eyes,'cause I'm Mr. Brightside.,0.8
Cause I Mr Brightside,'Cause I'm Mr. Brightside,0.2
I never,expected to find such a profound sense of peace and,0.0
I never,expected to find such a profound sense of peace and,0.0
I never,expected to find such a profound sense of peace and,0.0
