prompt,completion,rouge-l
Coming out of my cage,And I've been doing just fine {},0.8571428571428571
And I been doing just fine,I'm not the one who's{},0.0
Gotta gotta be down,with the S-Club Gotta gotta{},0.0
Because I want it all,". I want to be a good mother, a{}",0.125
It started out with a kiss,", how did it end up like this?""{}",1.0
How did it end up like this,? I just need to know How did{},0.0
It was only a kiss,", it was only a kiss."" ""{}",1.0
It was only a kiss,", it was only a kiss."" ""{}",0.0
Now I falling asleep,.  I'm falling asleep.{},0.0
And she calling a cab,. She's going to the airport.{},0.0
While he having a smoke,", he saw a man walking towards him. {}",0.14285714285714285
And she taking a drag,"from her cigarette, she said, “I’{}",0.0
Now they going to bed,.  They are going to bed.{},0.0
And my stomach is sick,And I'm feeling like I've{},0.14285714285714285
And it all in my head,. I'm not sure if I'{},0.0
But she touching his chest now,", and he's not sure what to do{}",0.125
He takes off her dress now,", and she is wearing a black bra and panties{}",0.0
Let me go,back to the beginning. I was born in {},0.125
And I just can look it killing me,. I'm not sure what I'{},0.0
And taking control,of the situation is what the 201{},0.14285714285714285
Jealousy turning saints into the sea,Swimming through sick lullabies {},1.0
Swimming through sick lullabies,", Sinking through the silence, D{}",0.0
Choking on your alibis,I'm not the only one who'{},0.14285714285714285
But it just the price I pay,"I don't mind, you taking my{}",0.0
Destiny is calling me,. I'm going to go and see{},0.0
Open up my eager eyes,And I’ll be on my way {},0.14285714285714285
Cause I Mr Brightside,I'm not bitter I'm{},0.16666666666666666
I coming out of my cage,and I've been doing just fine..{},0.8571428571428571
And I been doing just fine,I'm not the one who's{},0.0
Gotta gotta be down,with the S-Club Gotta gotta{},0.0
Because I want it all,. I want to be able to do everything.{},0.0
It started out with a kiss,", how did it end up like this?""{}",1.0
How did it end up like this,? I just need to know How did{},0.0
It was only a kiss,", it was only a kiss."" ""{}",0.0
Now I falling asleep,.  I'm falling asleep.{},0.0
And she calling a cab,. She's going to the airport.{},0.0
While he having a smoke,", he saw a man walking towards him. {}",0.14285714285714285
And she taking a drag,"from her cigarette, she said, “I’{}",0.0
Now they going to bed,.  They are going to bed.{},0.0
And my stomach is sick,And I'm feeling like I've{},0.14285714285714285
And it all in my head,. I'm not sure if I'{},0.0
But she touching his chest now,", and he's not sure what to do{}",0.125
He takes off her dress now,", and she is wearing a black bra and panties{}",0.0
Let me go,back to the beginning. I was born in {},0.125
Cause I just can look it killing me,I'm not afraid to die I{},0.0
And taking control,of the situation is what the 201{},0.14285714285714285
Jealousy turning saints into the sea,Swimming through sick lullabies {},1.0
Swimming through sick lullabies,", Drowning in your own lies.{}",0.2
Choking on your alibis,You're a liar And I'{},0.16666666666666666
But it just the price I pay,"I don't mind, you taking my{}",0.0
Destiny is calling me,. I'm going to go and see{},0.0
Open up my eager eyes,And I'll be on my way {},0.14285714285714285
Cause I Mr Brightside,I'm not bitter I'm{},0.16666666666666666
I never,"thought I would be able to do this,”{}",0.125
I never,"thought I would be able to do this,”{}",0.125
I never,"thought I would be able to do this,”{}",0.125
