prompt,completion,rouge-l
Coming out of my cage,", I felt a surge of newfound freedom and determination",0.1111111111111111
And I been doing just fine,And I've been navigating life's challenges with resilience,0.0
Gotta gotta be down,"""Gotta gotta be down"" 这句话似乎",0.0
Because I want it all,", I am willing to put in the hard work",0.0
It started out with a kiss,"It started out with a kiss, igniting a",0.125
How did it end up like this,How did it end up like this? It's,0.1111111111111111
It was only a kiss,", but it felt like more than I bargained",0.125
It was only a kiss,", but it felt like more than I bargained",0.125
Now I falling asleep,"Now I am falling asleep, the world around me",0.0
And she calling a cab,And she's calling a cab to head straight to,0.1
While he having a smoke,", he glanced around to ensure no one was watching",0.0
And she taking a drag,"from her cigarette, the smoke slowly spiraling upwards",0.0
Now they going to bed,"Now that they're going to bed, it's",0.0
And my stomach is sick,"And my stomach is feeling quite unwell, possibly",0.25
And it all in my head,And it all in my head means that everything I,0.0
But she touching his chest now,", her fingers gently tracing the contours of his muscles",0.1111111111111111
He takes off her dress now,"As he carefully removes the garment, he can't",0.0
Let me go,"Let me go means ""let me leave"" or",0.125
And I just can look it killing me,"And I just can't bear to see it,",0.1111111111111111
And taking control,of your life doesn't necessarily mean you have to,0.0
Jealousy turning saints into the sea,"Jealousy, with its corrosive power,",0.0
Swimming through sick lullabies,"Swimming through sick lullabies, one feels",0.0
Choking on your alibis,Choking on your alibis could metaphorically,0.0
But it just the price I pay,But it's just the price I pay for pursuing,0.0
Destiny is calling me,"As I embark on this new journey, I feel",0.0
Open up my eager eyes,"and let the morning light caress my soul,",0.0
Cause I Mr Brightside,", I navigate through the complexities of life with the",0.2222222222222222
I coming out of my cage,I am breaking free from my constraints.,0.14285714285714285
And I been doing just fine,And I've been navigating life's challenges with resilience,0.0
Gotta gotta be down,"""Gotta gotta be down"" 这句话似乎",0.0
Because I want it all,", I am willing to put in the hard work",0.0
It started out with a kiss,"It started out with a kiss, igniting a",0.125
How did it end up like this,How did it end up like this? It's,0.1111111111111111
It was only a kiss,", but it felt like more than I bargained",0.125
Now I falling asleep,"Now I am falling asleep, the world around me",0.0
And she calling a cab,And she's calling a cab to head straight to,0.1
While he having a smoke,", he glanced around to ensure no one was watching",0.0
And she taking a drag,"from her cigarette, the smoke slowly spiraling upwards",0.0
Now they going to bed,"Now that they're going to bed, it's",0.0
And my stomach is sick,"And my stomach is feeling quite unwell, possibly",0.25
And it all in my head,And it all in my head means that everything I,0.0
But she touching his chest now,", her fingers gently tracing the contours of his muscles",0.1111111111111111
He takes off her dress now,"As he carefully removes the garment, he can't",0.0
Let me go,"Let me go means ""let me leave"" or",0.125
Cause I just can look it killing me,", the thought of not being able to continue living",0.0
And taking control,of your life doesn't necessarily mean you have to,0.0
Jealousy turning saints into the sea,"Jealousy, with its corrosive power,",0.0
Swimming through sick lullabies,"Swimming through sick lullabies, one feels",0.0
Choking on your alibis,Choking on your alibis could metaphorically,0.0
But it just the price I pay,But it's just the price I pay for pursuing,0.0
Destiny is calling me,"As I embark on this new journey, I feel",0.0
Open up my eager eyes,"and let the morning light caress my soul,",0.0
Cause I Mr Brightside,", I navigate through the complexities of life with the",0.1111111111111111
I never,I never take for granted the support and love I,0.2
I never,I never take for granted the support and love I,0.2
I never,I never take for granted the support and love I,0.2
