prompt,completion,rouge-l
Coming out of my cage,and I've been doing just fine Gotta{},0.75
And I been doing just fine,I been doing just fine I been doing{},0.0
Gotta gotta be down,"with the kids, man. I'm not a{}",0.125
Because I want it all,"to be perfect, I have to make sure that{}",0.0
It started out with a kiss,", and then it was a hug, and then{}",0.125
How did it end up like this,"? I was just a kid, I was just{}",0.25
It was only a kiss,", but it was a kiss that changed everything.{}",0.5
It was only a kiss,", but it was a kiss that changed everything.{}",0.0
Now I falling asleep,", I'm dreaming of you I'm dreaming{}",0.0
And she calling a cab,", and she calling a cab, and she calling{}",0.125
While he having a smoke,", I was looking at the map and I saw{}",0.1111111111111111
And she taking a drag,"from her cigarette, and she said, ""I{}",0.0
Now they going to bed,", and I going to bed, too. I{}",0.14285714285714285
And my stomach is sick,and sad And I'm sick of being sick{},0.1111111111111111
And it all in my head,", it all in my head And it all{}",0.0
But she touching his chest now,", and he was so close to her, and{}",0.25
He takes off her dress now,", and she is naked. She is beautiful.{}",0.0
Let me go,", you bastard!” “Shut up,{}",0.0
And I just can look it killing me,I just can look it killing me I{},0.0
And taking control,"of the situation, he said, “I’m{}",0.14285714285714285
Jealousy turning saints into the sea,I'm not the only one who's feeling{},0.0
Swimming through sick lullabies,I'm a little bit of everything I{},0.0
Choking on your alibis,", are you?' 'No, I'm{}",0.2
But it just the price I pay,I'm not the one to blame I{},0.0
Destiny is calling me,. I must go. I must go. I{},0.0
Open up my eager eyes,", Lord, to see the wonders of your law{}",0.0
Cause I Mr Brightside,I've got soul but I'm not a{},0.1111111111111111
I coming out of my cage,"and I've been doing just fine, Gotta{}",0.75
And I been doing just fine,I been doing just fine I been doing{},0.0
Gotta gotta be down,"with the kids, man. I'm not a{}",0.125
Because I want it all,"to be perfect, I have to make sure that{}",0.0
It started out with a kiss,", and then it was a hug, and then{}",0.125
How did it end up like this,"? I was just a kid, I was just{}",0.25
It was only a kiss,", but it was a kiss that changed everything.{}",0.0
Now I falling asleep,", I'm dreaming of you I'm dreaming{}",0.0
And she calling a cab,", and she calling a cab, and she calling{}",0.125
While he having a smoke,", I was looking at the map and I saw{}",0.1111111111111111
And she taking a drag,"from her cigarette, and she said, ""I{}",0.0
Now they going to bed,", and I going to bed, too. I{}",0.14285714285714285
And my stomach is sick,and sad And I'm sick of being sick{},0.1111111111111111
And it all in my head,", it all in my head And it all{}",0.0
But she touching his chest now,", and he was so close to her, and{}",0.25
He takes off her dress now,", and she is naked. She is beautiful.{}",0.0
Let me go,", you bastard!” “Shut up,{}",0.0
Cause I just can look it killing me,I just can look it killing me I{},0.0
And taking control,"of the situation, he said, “I’m{}",0.14285714285714285
Jealousy turning saints into the sea,I'm not the only one who's feeling{},0.0
Swimming through sick lullabies,I'm a little bit of everything I{},0.0
Choking on your alibis,", are you?' 'No, I'm{}",0.2
But it just the price I pay,I'm not the one to blame I{},0.0
Destiny is calling me,. I must go. I must go. I{},0.0
Open up my eager eyes,", Lord, to see the wonders of your law{}",0.0
Cause I Mr Brightside,I've got soul but I'm not a{},0.1111111111111111
I never,"thought I’d be able to do this, but{}",0.1111111111111111
I never,"thought I’d be able to do this, but{}",0.1111111111111111
I never,"thought I’d be able to do this, but{}",0.1111111111111111
