prompt,completion,rouge-l
Coming out of my cage,and I've been doing just fine Gotta{},0.75
And I been doing just fine,. I'm not a big fan of{},0.0
Gotta gotta be down,with my G's Gotta gotta{},0.0
Because I want it all,". I want to be a good mom,{}",0.14285714285714285
It started out with a kiss,", how did it end up like this? It{}",0.875
How did it end up like this,? I’m not sure. I think{},0.0
It was only a kiss,", but it was a kiss that would change the{}",0.4444444444444444
It was only a kiss,", but it was a kiss that would change the{}",0.0
Now I falling asleep,. I'm not sure if I'{},0.0
And she calling a cab,. I'm not sure what I'{},0.0
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"on her cigarette, and she said,{}",0.0
Now they going to bed,. I'm going to bed too.{},0.0
And my stomach is sick,. I'm going to throw up. I{},0.0
And it all in my head,. I’m not sure if I’{},0.0
But she touching his chest now,", and he was so close, and she was{}",0.125
He takes off her dress now,", and she is naked. He takes off{}",0.0
Let me go,", I'm going to fucking kill{}",0.3333333333333333
And I just can look it killing me,. I can look it. I can look it{},0.0
And taking control,of your life is the first step to getting your{},0.1
Jealousy turning saints into the sea,", Swimming through sick lullabies,{}",1.0
Swimming through sick lullabies,Choking on your alibis But{},0.8
Choking on your alibis,"You're a liar, you'{}",0.0
But it just the price I pay,for being a man. I’m not{},0.0
Destiny is calling me,. I must go. I'm not{},0.0
Open up my eager eyes,", Incline my ear, and fill{}",0.0
Cause I Mr Brightside,. I'm not sure if I'{},0.16666666666666666
I coming out of my cage,and I’ve been doing just fine G{},0.75
And I been doing just fine,. I'm not a big fan of{},0.0
Gotta gotta be down,with my G's Gotta gotta{},0.0
Because I want it all,". I want to be a good mom,{}",0.14285714285714285
It started out with a kiss,", how did it end up like this? It{}",0.875
How did it end up like this,? I’m not sure. I think{},0.0
It was only a kiss,", but it was a kiss that would change the{}",0.0
Now I falling asleep,. I'm not sure if I'{},0.0
And she calling a cab,. I'm not sure what I'{},0.0
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"on her cigarette, and she said,{}",0.0
Now they going to bed,. I'm going to bed too.{},0.0
And my stomach is sick,. I'm going to throw up. I{},0.0
And it all in my head,. I’m not sure if I’{},0.0
But she touching his chest now,", and he was so close, and she was{}",0.125
He takes off her dress now,", and she is naked. He takes off{}",0.0
Let me go,", I'm going to fucking kill{}",0.3333333333333333
Cause I just can look it killing me,. I'm not sure if I'{},0.0
And taking control,of your life is the first step to getting your{},0.1
Jealousy turning saints into the sea,", Swimming through sick lullabies,{}",1.0
Swimming through sick lullabies,Choking on your alibis But{},0.8
Choking on your alibis,"You're a liar, you'{}",0.0
But it just the price I pay,for being a man. I’m not{},0.0
Destiny is calling me,. I must go. I'm not{},0.0
Open up my eager eyes,", Incline my ear, and fill{}",0.0
Cause I Mr Brightside,. I'm not sure if I'{},0.16666666666666666
I never,thought I would be able to do. I{},0.125
I never,thought I would be able to do. I{},0.125
I never,thought I would be able to do. I{},0.125
