prompt,completion,rouge-l
Coming out of my cage,and I've been doing just fine Gonna{},0.75
And I been doing just fine,. I'm not saying I'm{},0.0
Gotta gotta be down,with the sickness. I'm not{},0.16666666666666666
Because I want it all,". I want to be a mom, I want{}",0.125
It started out with a kiss,. I was in the middle of a conversation{},0.0
How did it end up like this,? I’m not sure. I think{},0.0
It was only a kiss,", but it was a kiss that would change her{}",0.4444444444444444
It was only a kiss,", but it was a kiss that would change her{}",0.0
Now I falling asleep,. I'm not sure if I'{},0.0
And she calling a cab,to take her to the airport. And{},0.0
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"on her cigarette, she said, ""{}",0.0
Now they going to bed,. I'm going to bed. {},0.0
And my stomach is sick,. I'm not sure if it's{},0.14285714285714285
And it all in my head,. I’m not sure if I’{},0.0
But she touching his chest now,", and he was feeling the heat of her body{}",0.2222222222222222
He takes off her dress now,", and she is naked. She is very{}",0.0
Let me go,", I'm going to be late for work{}",0.125
And I just can look it killing me,. I'm not sure if I'{},0.0
And taking control,of the situation is the best way to do that{},0.1
Jealousy turning saints into the sea,". Their love is a lie, their{}",0.0
Swimming through sick lullabies,", I’m a little bit scared{}",0.0
Choking on your alibis,", You're a liar, you{}",0.0
But it just the price I pay,for being a writer. I’m not{},0.0
Destiny is calling me,to be a writer. I’m not sure{},0.0
Open up my eager eyes,", and help me to behold The glory{}",0.0
Cause I Mr Brightside,10. The Killers - Mr Bright{},0.0
I coming out of my cage,and doing what I want to do. I{},0.375
And I been doing just fine,. I'm not saying I'm{},0.0
Gotta gotta be down,with the sickness. I'm not{},0.16666666666666666
Because I want it all,". I want to be a mom, I want{}",0.125
It started out with a kiss,. I was in the middle of a conversation{},0.0
How did it end up like this,? I’m not sure. I think{},0.0
It was only a kiss,", but it was a kiss that would change her{}",0.0
Now I falling asleep,. I'm not sure if I'{},0.0
And she calling a cab,to take her to the airport. And{},0.0
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"on her cigarette, she said, ""{}",0.0
Now they going to bed,. I'm going to bed. {},0.0
And my stomach is sick,. I'm not sure if it's{},0.14285714285714285
And it all in my head,. I’m not sure if I’{},0.0
But she touching his chest now,", and he was feeling the heat of her body{}",0.2222222222222222
He takes off her dress now,", and she is naked. She is very{}",0.0
Let me go,", I'm going to be late for work{}",0.125
Cause I just can look it killing me,. I'm not sure if I'{},0.0
And taking control,of the situation is the best way to do that{},0.1
Jealousy turning saints into the sea,". Their love is a lie, their{}",0.0
Swimming through sick lullabies,", I’m a little bit scared{}",0.0
Choking on your alibis,", You're a liar, you{}",0.0
But it just the price I pay,for being a writer. I’m not{},0.0
Destiny is calling me,to be a writer. I’m not sure{},0.0
Open up my eager eyes,", and help me to behold The glory{}",0.0
Cause I Mr Brightside,10. The Killers - Mr Bright{},0.0
I never,thought I would be able to do it. I{},0.1111111111111111
I never,thought I would be able to do it. I{},0.1111111111111111
I never,thought I would be able to do it. I{},0.1111111111111111
