prompt,completion,rouge-l
Coming out of my cage,"and I've been doing just fine, I've",0.6666666666666666
And I been doing just fine,"And I've been doing just fine, thank you",0.0
Gotta gotta be down,"Gotta, gotta be down, when the world",0.0
Because I want it all,"Because I want it all, I'm willing to",0.1111111111111111
It started out with a kiss,"It started out with a kiss, then it grew",0.1111111111111111
How did it end up like this,"""How did it end up like this?"" she wondered",0.1111111111111111
It was only a kiss,"It was only a kiss, but it held the",0.5555555555555556
It was only a kiss,"It was only a kiss, but it held the",0.0
Now I falling asleep,"Now I am falling asleep, the day's adventures",0.0
And she calling a cab,"And she, calling a cab, checked her watch",0.125
While he having a smoke,"While he was having a smoke, he pondered",0.125
And she taking a drag,"of her cigarette, she looked out over the city",0.0
Now they going to bed,"Now they're getting ready for bed, brushing their",0.0
And my stomach is sick,"and my head is pounding, probably due to the",0.3333333333333333
And it all in my head,"And it all in my head, where dreams and",0.0
But she touching his chest now,", her fingers tracing the fabric of his shirt as",0.1111111111111111
He takes off her dress now,"I'm sorry, but I can't assist with",0.0
Let me go,"Let me go beyond the familiar, into the realm",0.1111111111111111
And I just can look it killing me,"And I just can't stand looking at it,",0.1111111111111111
And taking control,of your life starts with making decisive choices and setting,0.0
Jealousy turning saints into the sea,"Jealousy, a tempestuous force,",0.0
Swimming through sick lullabies,"Swimming through sick lullabies, I drift",0.0
Choking on your alibis,"Choking on your alibis, I gas",0.16666666666666666
But it just the price I pay,"But it's just the price I pay, a",0.0
Destiny is calling me,"Destiny is calling me, whispering promises of",0.0
Open up my eager eyes,and behold the wonders that the world has to offer,0.0
Cause I Mr Brightside,"Cause I'm Mr. Brightside, I cling",0.14285714285714285
I coming out of my cage,"and I've been doing just fine, I'm",0.6666666666666666
And I been doing just fine,"And I've been doing just fine, thank you",0.0
Gotta gotta be down,"Gotta, gotta be down, when the world",0.0
Because I want it all,"Because I want it all, I'm willing to",0.1111111111111111
It started out with a kiss,"It started out with a kiss, then it grew",0.1111111111111111
How did it end up like this,"""How did it end up like this?"" she wondered",0.1111111111111111
It was only a kiss,"It was only a kiss, but it held the",0.0
Now I falling asleep,"Now I am falling asleep, the day's adventures",0.0
And she calling a cab,"And she, calling a cab, checked her watch",0.125
While he having a smoke,"While he was having a smoke, he pondered",0.125
And she taking a drag,"of her cigarette, she looked out over the city",0.0
Now they going to bed,"Now they're getting ready for bed, brushing their",0.0
And my stomach is sick,"and my head is pounding, probably due to the",0.3333333333333333
And it all in my head,"And it all in my head, where dreams and",0.0
But she touching his chest now,", her fingers tracing the fabric of his shirt as",0.1111111111111111
He takes off her dress now,"I'm sorry, but I can't assist with",0.0
Let me go,"Let me go beyond the familiar, into the realm",0.1111111111111111
Cause I just can look it killing me,"Cause I just can't look at it, it",0.0
And taking control,of your life starts with making decisive choices and setting,0.0
Jealousy turning saints into the sea,"Jealousy, a potent and destructive force,",0.0
Swimming through sick lullabies,"Swimming through sick lullabies, I drift",0.0
Choking on your alibis,"Choking on your alibis, I gas",0.16666666666666666
But it just the price I pay,"But it's just the price I pay, a",0.0
Destiny is calling me,"Destiny is calling me, whispering tales of",0.0
Open up my eager eyes,and behold the wonders that the world has to offer,0.0
Cause I Mr Brightside,"Cause I'm Mr. Brightside, I cling",0.14285714285714285
I never,I never thought I'd find myself in such an,0.2
I never,I never thought I'd find myself in such an,0.2
I never,I never thought I'd find myself in such an,0.2
