prompt,completion,rouge-l
Coming out of my cage,"and I've been doing just fine, gotta, gotta",0.6666666666666666
And I been doing just fine,"Sure, here's a continuation of that sentence:

""And",0.0
Gotta gotta be down,"Sure, here's a continuation of the sentence:

""G",0.0
Because I want it all,and I know that achieving my dreams will require dedication,0.0
It started out with a kiss,"It started out with a kiss, how did it",0.3333333333333333
How did it end up like this,How did it end up like this? It started,0.1111111111111111
It was only a kiss,"It was only a kiss, but it felt like",0.5555555555555556
It was only a kiss,"It was only a kiss, but it felt like",0.0
Now I falling asleep,Now I'm falling asleep and dreaming of distant places.,0.1
And she calling a cab,"And she's calling a cab, hoping to escape the",0.1
While he having a smoke,"While he was having a smoke, he noticed a",0.1111111111111111
And she taking a drag,"And she, taking a drag from her cigarette,",0.0
Now they going to bed,Now they are going to bed.,0.0
And my stomach is sick,"And my stomach is sick, and it's all in",0.4
And it all in my head,And it all in my head feels like a whirlwind,0.0
But she touching his chest now,"But she, touching his chest now, felt the",0.125
He takes off her dress now,"Sorry, but I can't continue the text in that",0.0
Let me go,ahead and explain that for you. What would you,0.1111111111111111
And I just can look it killing me,"And I just can't look, it's killing me.",0.1
And taking control,"And taking control of her destiny, she decided to",0.0
Jealousy turning saints into the sea,"Jealousy turning saints into the sea, swimming",0.14285714285714285
Swimming through sick lullabies,"Swimming through sick lullabies, choking on your al",0.375
Choking on your alibis,"Choking on your alibis, you struggle",0.0
But it just the price I pay,"Sure, here's a completion for the sentence:

""But",0.0
Destiny is calling me,to step into the unknown and embrace the opportunities that,0.0
Open up my eager eyes,'Cause I'm Mr. Brightside.,0.8
Cause I Mr Brightside,"""Cause I'm Mr. Brightside"" is a",0.14285714285714285
I coming out of my cage,and I've been doing just fine.,0.8571428571428571
And I been doing just fine,Sure! Here's a possible continuation of the sentence:,0.0
Gotta gotta be down,"Sure, here's a completion for the sentence: """,0.0
Because I want it all,"and I want it now, I'm willing to put",0.1
It started out with a kiss,"It started out with a kiss, how did it",0.3333333333333333
How did it end up like this,How did it end up like this? It was,0.2222222222222222
It was only a kiss,"It was only a kiss, but it felt like",0.0
Now I falling asleep,Now I'm falling asleep and all I can think about,0.09090909090909091
And she calling a cab,"And she's calling a cab, hoping to escape the",0.1
While he having a smoke,"While he was having a smoke, he noticed a",0.1111111111111111
And she taking a drag,"And she, taking a drag from her cigarette,",0.0
Now they going to bed,Now they are going to bed.,0.0
And my stomach is sick,"And my stomach is sick, and it's all in",0.4
And it all in my head,"And it all in my head, I replay every",0.0
But she touching his chest now,"But she, touching his chest now, felt the",0.125
He takes off her dress now,"Sorry, but I can't continue the text in that",0.0
Let me go,ahead and explain that for you.,0.0
Cause I just can look it killing me,and taking control.,1.0
And taking control,"of her destiny, she decided to pursue her dreams",0.0
Jealousy turning saints into the sea,"Jealousy turning saints into the sea, swimming",0.14285714285714285
Swimming through sick lullabies,choking on your alibis.,1.0
Choking on your alibis,"Choking on your alibis, you struggle",0.0
But it just the price I pay,"Sure, here's a completion for the sentence:

""But",0.0
Destiny is calling me,to step into the unknown and embrace the opportunities that,0.0
Open up my eager eyes,"""Open up my eager eyes, 'cause I'm",0.25
Cause I Mr Brightside,"""Cause I'm Mr. Brightside"" is a",0.14285714285714285
I never,I never imagined that I would find myself in such,0.2
I never,I never imagined that I would find myself in such,0.2
I never,I never imagined that I would find myself enjoying such,0.2
