prompt,completion,rouge-l
Coming out of my cage,"I'm sorry, but I can't continue the",0.1111111111111111
And I been doing just fine,since the day I woke up and started my journey,0.0
Gotta gotta be down,"I'm sorry, but I can't continue the",0.1111111111111111
Because I want it all,"I understand that you desire everything, and I am",0.0
It started out with a kiss,"and then it grew into something more, until they",0.1111111111111111
How did it end up like this,"I'm sorry, but I cannot continue the sentence",0.0
It was only a kiss,that made her feel so alive and full of energy,0.0
It was only a kiss,that made her feel so alive and full of energy,0.0
Now I falling asleep,"I'm sorry, but I can't continue the",0.0
And she calling a cab,"to get to the airport, but unfortunately, her",0.0
While he having a smoke,"while smoking, he was feeling the effects of the",0.0
And she taking a drag,"of her cigarette, and the smoke wafted",0.0
Now they going to bed,"They are likely to be sleeping now, and it",0.1111111111111111
And my stomach is sick,I'm sorry to hear that you're feeling un,0.0
And it all in my head,It's fascinating how our thoughts and feelings can be,0.0
But she touching his chest now,"and whispering sweet nothings into his ear,",0.0
He takes off her dress now,and she is left in the dark about what to,0.0
Let me go,"Sure, I'm here to listen and assist you",0.1111111111111111
And I just can look it killing me,I'm sorry to hear that you're feeling this,0.0
And taking control,"of your own destiny, you can make the most",0.1111111111111111
Jealousy turning saints into the sea,"As the sun began to set, the stars in",0.0
Swimming through sick lullabies,"and the sweet melodies of childhood, I found myself",0.0
Choking on your alibis,It's not uncommon for people to feel the need,0.2
But it just the price I pay,"for being able to live in this world, where",0.0
Destiny is calling me,"""Destiny has called upon me to embark on",0.0
Open up my eager eyes,"I am here to assist you, so please open",0.1111111111111111
Cause I Mr Brightside,"I'm sorry, but I can't continue the",0.1111111111111111
I coming out of my cage,"It's been quite an adventure, and I'm",0.2222222222222222
And I been doing just fine,since the day I woke up and started my journey,0.0
Gotta gotta be down,"I'm sorry, but I can't continue the",0.1111111111111111
Because I want it all,"I understand that you desire everything, and I am",0.0
It started out with a kiss,"and then it grew into something more, until they",0.1111111111111111
How did it end up like this,"I'm sorry, but I cannot continue the sentence",0.0
It was only a kiss,that made her feel so alive and full of energy,0.0
Now I falling asleep,"I'm sorry, but I can't continue the",0.0
And she calling a cab,"to get to the airport, but unfortunately, her",0.0
While he having a smoke,"while smoking, he was feeling the effects of the",0.0
And she taking a drag,"of her cigarette, and the smoke wafted",0.0
Now they going to bed,"They are likely to be sleeping now, and it",0.1111111111111111
And my stomach is sick,I'm sorry to hear that you're feeling un,0.0
And it all in my head,It's fascinating how our thoughts and feelings can be,0.0
But she touching his chest now,"and whispering sweet nothings into his ear,",0.0
He takes off her dress now,and she is left in the dark about what to,0.0
Let me go,"Sure, I'm here to listen and assist you",0.1111111111111111
Cause I just can look it killing me,I'm sorry to hear that you're feeling this,0.0
And taking control,"of your own destiny, you can make the most",0.1111111111111111
Jealousy turning saints into the sea,"As the sun began to set, the stars in",0.0
Swimming through sick lullabies,"and the sound of waves crashing against the shore,",0.0
Choking on your alibis,It's not uncommon for people to feel the need,0.2
But it just the price I pay,"for being able to live in this world, where",0.0
Destiny is calling me,"""Destiny has called upon me to embark on",0.0
Open up my eager eyes,"I am here to assist you, so please open",0.1111111111111111
Cause I Mr Brightside,"I'm sorry, but I can't continue the",0.1111111111111111
I never,放弃任何一项工作，因为我觉得我需要更多,0
I never,放弃任何一项工作，因为我觉得我需要更多,0
I never,放弃任何一项工作，因为我觉得我需要更多,0
