prompt,completion,rouge-l
Coming out of my cage,", and now I’m free. I{}",0.3333333333333333
And I been doing just fine,". I'm doing just fine, I{}",0.0
Gotta gotta be down,", cuz I feel so under. I'{}",0.16666666666666666
Because I want it all,", I want it all I want it all{}",0.125
It started out with a kiss,. How did it end up with a hit in{},0.5555555555555556
How did it end up like this,? The answer is simple. The people who{},0.0
It was only a kiss,", but it was a kiss. I’{}",0.6666666666666666
It was only a kiss,", but it was a kiss. I’{}",0.16666666666666666
Now I falling asleep,. I'm going to sleep now.{},0.0
And she calling a cab,. She's got a lot of nerve{},0.14285714285714285
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"of her cigarette, and then she's like{}",0.0
Now they going to bed,. ( ) 10. A.{},0.0
And my stomach is sick,. I'm sick of the way you{},0.0
And it all in my head,. I'm a little bit of an{},0.0
But she touching his chest now,", and he was still alive. She had{}",0.14285714285714285
He takes off her dress now,", and she is naked. He takes off{}",0.0
Let me go,".” “No, you don’t{}",0.0
And I just can look it killing me,. I'm not sure what I'{},0.0
And taking control,of the situation is a good thing. But{},0.125
Jealousy turning saints into the sea,The sea turning saints into the sea. {},0.0
Swimming through sick lullabies,", car alarms in my head I'm{}",0.0
Choking on your alibis,", you're choking on your alib{}",0.0
But it just the price I pay,for being a good person. I'm{},0.0
Destiny is calling me,to be a part of the solution. I{},0.0
Open up my eager eyes,", And let me see the world. {}",0.0
Cause I Mr Brightside,The Killers - Mr Brightside (O{},0.0
I coming out of my cage,and tearing out of here on my own two feet{},0.1
And I been doing just fine,". I'm doing just fine, I{}",0.0
Gotta gotta be down,", cuz I feel so under. I'{}",0.16666666666666666
Because I want it all,. I want it all and I want it{},0.125
It started out with a kiss,. How did it end up with a hit in{},0.5555555555555556
How did it end up like this,? The answer is simple. The people who{},0.0
It was only a kiss,", but it was a kiss. I’{}",0.16666666666666666
Now I falling asleep,. I'm going to sleep now.{},0.0
And she calling a cab,. She's got a lot of nerve{},0.14285714285714285
While he having a smoke,", he was approached by a man who asked him{}",0.1111111111111111
And she taking a drag,"of her cigarette, and then she's like{}",0.0
Now they going to bed,. ( ) 10. A.{},0.0
And my stomach is sick,. I'm sick of the way you{},0.0
And it all in my head,. I'm a little bit of an{},0.0
But she touching his chest now,", and he was still alive. He had{}",0.14285714285714285
He takes off her dress now,", and she is naked. He takes off{}",0.0
Let me go,".” “No, you don’t{}",0.0
Cause I just can look it killing me,I just can look it killing me I{},0.0
And taking control,of the situation is a good thing. But{},0.125
Jealousy turning saints into the sea,. I'm not sure what the point{},0.0
Swimming through sick lullabies,", car alarms in my head I'm{}",0.0
Choking on your alibis,", you're choking on your alib{}",0.0
But it just the price I pay,for being a good person. I'm{},0.0
Destiny is calling me,. I'm going to the moon!{},0.0
Open up my eager eyes,", And let me see the world. {}",0.0
Cause I Mr Brightside,The Killers - Mr Brightside (O{},0.0
I never,thought I would be able to do this.”{},0.125
I never,thought I would be able to do this.”{},0.125
I never,thought I would be able to do this.”{},0.125
