prompt,completion,rouge-l
Do you ever feel like a plastic bag,"being carried along by the wind, tossed around without",0.2222222222222222
"Drifting through the wind, wanting to start again?","As you drift through the wind, feeling the gentle",0.2222222222222222
"Do you ever feel, feel so paper thin",that you're on the verge of breaking under the,0.1
"Like a house of cards, one blow from caving in?","Indeed, like a house of cards, it stands",0.0
Do you ever feel already buried deep six feet under?,"Yes, the feeling of being buried deep six feet",0.0
Screams but no one seems to hear a thing,", echoing through the silent night, as if the",0.0
Do you know that there's still a chance for you,to turn things around and achieve your goals? It,0.0
'Cause there's a spark in you?,"That suggests a potential for growth, creativity, or",0.0
You just gotta ignite the light and let it shine,无论前路多么黑暗，你只需要点燃心中的,0
Just own the night like the 4th of July,Just own the night like the 4th of,0.0
"'Cause, baby, you're a firework","'Cause, baby, you're a firework",0.3333333333333333
"Come on, show 'em what you're worth",，拿出你的实力和才华！无论是在工作,0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.0
As you shoot across the sky-y-y,"As you shoot across the sky, the world below",0.1111111111111111
"Baby, you're a firework","Baby, you're a firework, Explos",0.0
"Come on, let your colours burst",out in this vibrant celebration! Embrace the diversity,0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.2
"You're gonna leave 'em all in awe, awe, awe",当你展现出非凡的才华和努力时，你,0
You don't have to feel like a wasted space,每个人都有其独特的价值和潜力，你也不例外,0
"You're original, cannot be replaced","You're unique, one of a kind, and",0.125
If you only knew what the future holds,，你或许会惊讶于其中的变数,0
After a hurricane comes a rainbow,"After the chaos and destruction of a hurricane, comes",0.1111111111111111
Maybe a reason why all the doors are closed,is that they need to be maintained or repaired.,0.2222222222222222
So you could open one that leads you to the perfect road,So you could open one that leads you to the,0.0
"Like a lightning bolt, your heart will glow","with warmth and joy, igniting a radiant light",0.125
And when it's time you'll know,"And when the moment arrives, you will understand the",0.2222222222222222
You just gotta ignite the light and let it shine,无论前路多么黑暗，你只需要点燃心中的,0
Just own the night like the 4th of July,Just own the night like the 4th of,0.0
"'Cause, baby, you're a firework","'Cause, baby, you're a firework",0.3333333333333333
"Come on, show 'em what you're worth",，拿出你的实力和才华！无论是在工作,0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.0
As you shoot across the sky-y-y,"As you shoot across the sky, the world below",0.1111111111111111
"Baby, you're a firework","Baby, you're a firework, Explos",0.0
"Come on, let your colours burst",out in this vibrant celebration! Embrace the diversity,0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.2
"You're gonna leave 'em all in awe, awe, awe",当你展现出非凡的才华和努力时，你,0
"Boom, boom, boom",随着震耳欲聋的声响，三声,0
"Even brighter than the moon, moon, moon","Even brighter than the moon, stars twinkle in",0.0
"It's always been inside of you, you, you","It's always been inside of you, the strength",0.2222222222222222
And now it's time to let it through-ough-ough,And now it's time to let it all through,0.0
"'Cause, baby, you're a firework","'Cause, baby, you're a firework",0.3333333333333333
"Come on, show 'em what you're worth",，拿出你的实力和才华！无论是在工作,0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.0
As you shoot across the sky-y-y,"As you shoot across the sky, the world below",0.1111111111111111
"Baby, you're a firework","Baby, you're a firework, Explos",0.0
"Come on, let your colours burst",out in this vibrant celebration! Embrace the diversity,0.0
"Make 'em go, ""Aah, aah, aah""","Make 'em jump, ""Wow, wow,",0.2
"You're gonna leave 'em all in awe, awe, awe",当你展现出非凡的才华和努力时，你,0
"Boom, boom, boom",随着震耳欲聋的声响，三声,0
"Even brighter than the moon, moon, moon","Even brighter than the moon, stars twinkle in",0.0
"Boom, boom, boom",随着震耳欲聋的声响，三声,0
