prompt,completion,rouge-l
Do you ever feel like a plastic bag,floating in the ocean of life?,0.16666666666666666
"Drifting through the wind, wanting to start again?",As the wind howled and the trees rustled,0.0
"Do you ever feel, feel so paper thin",that it's as if your skin is made of,0.1
"Like a house of cards, one blow from caving in?",And then the foundation crumbles and the whole structure,0.0
Do you ever feel already buried deep six feet under?,"Yes, I can imagine feeling like that sometimes.",0.0
Screams but no one seems to hear a thing,"The silence was deafening, and the only sound",0.0
Do you know that there's still a chance for you,to find a job?,0.25
'Cause there's a spark in you?,"And it's not just the words that ignite,",0.2222222222222222
You just gotta ignite the light and let it shine,and then watch as it illuminates the darkness around,0.1111111111111111
Just own the night like the 4th of July,And celebrate it with fireworks and a toast to the,0.1
"'Cause, baby, you're a firework",And I'll light up the night with my words,0.0
"Come on, show 'em what you're worth","""Come on, let's show them what we",0.0
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
As you shoot across the sky-y-y,"I'm sorry, but I can't continue the",0.0
"Baby, you're a firework",It's a beautiful sight to see the fireworks exploding,0.0
"Come on, let your colours burst",Let's go for it! Let's make our,0.1111111111111111
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
"You're gonna leave 'em all in awe, awe, awe",and they'll never forget your presence.,0.0
You don't have to feel like a wasted space,because I'm here to help you find the perfect,0.1
"You're original, cannot be replaced",Your uniqueness and individuality make you an invaluable asset,0.1111111111111111
If you only knew what the future holds,"for you, it would be impossible to predict with",0.0
After a hurricane comes a rainbow,"A rainbow appears as the storm passes, symbolizing",0.25
Maybe a reason why all the doors are closed,is that they have been locked up for too long,0.1
So you could open one that leads you to the perfect road,"and then take it, and you'll be on",0.0
"Like a lightning bolt, your heart will glow","like a lightning bolt, your heart will glow with",0.0
And when it's time you'll know,"to make your own decision, the world will be",0.1111111111111111
You just gotta ignite the light and let it shine,and then watch as it illuminates the darkness around,0.1111111111111111
Just own the night like the 4th of July,And celebrate it with fireworks and a toast to the,0.1
"'Cause, baby, you're a firework",And I'll light up the night with my words,0.0
"Come on, show 'em what you're worth","""Come on, let's show them what we",0.0
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
As you shoot across the sky-y-y,"I see, it seems like you're in a",0.3333333333333333
"Baby, you're a firework",It's a beautiful sight to see the fireworks exploding,0.0
"Come on, let your colours burst",Let's go for it! Let's make our,0.1111111111111111
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
"You're gonna leave 'em all in awe, awe, awe",and they'll never forget your presence.,0.0
"Boom, boom, boom","Boom, boom, boom!",0.0
"Even brighter than the moon, moon, moon","is the sun, which shines so brightly that it",0.1111111111111111
"It's always been inside of you, you, you",and it's never left you alone. It's,0.4444444444444444
And now it's time to let it through-ough-ough,"and through the challenges that come your way, you",0.1111111111111111
"'Cause, baby, you're a firework",And I'll light up the night with my words,0.0
"Come on, show 'em what you're worth","""Come on, let's show them what we",0.0
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
As you shoot across the sky-y-y,"I'm sorry, but I can't continue the",0.0
"Baby, you're a firework",It's a beautiful sight to see the fireworks exploding,0.0
"Come on, let your colours burst",Let's go for it! Let's make our,0.1111111111111111
"Make 'em go, ""Aah, aah, aah""","I'm sorry, but I can't assist with",0.0
"You're gonna leave 'em all in awe, awe, awe",and they'll never forget your presence.,0.0
"Boom, boom, boom","Boom, boom, boom!",0.0
"Even brighter than the moon, moon, moon","is the sun, which shines so brightly that it",0.0
"Boom, boom, boom","Boom, boom, boom!",0.0
