prompt,completion,rouge-l
Do you ever feel like a plastic bag,"drifting through the wind, wanting to start again",1.0
"Drifting through the wind, wanting to start again?",Do you ever feel like a plastic bag?,0.5
"Do you ever feel, feel so paper thin","like a house of cards, one blow from c",0.8888888888888888
"Like a house of cards, one blow from caving in?","Like a house of cards, one blow from c",0.0
Do you ever feel already buried deep six feet under?,"Yes, that's a line from Katy Perry's",0.1111111111111111
Screams but no one seems to hear a thing,Do you know that there's still a chance for,1.0
Do you know that there's still a chance for you,to make a difference? All it takes is one,0.1111111111111111
'Cause there's a spark in you?,"You just gotta ignite the light, and let it",1.0
You just gotta ignite the light and let it shine,just own the night like the Fourth of July,0.8888888888888888
Just own the night like the 4th of July,'Cause baby you're a firework,1.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and let your talents shine through!,0.0
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,1.0
As you shoot across the sky-y-y,", you leave a trail of light behind, illumin",0.25
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","make 'em go ""Oh, oh, oh",0.5
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,0.125
"You're gonna leave 'em all in awe, awe, awe","when you show them what you're capable of,",0.1111111111111111
You don't have to feel like a wasted space,"You're original, cannot be replaced.",1.0
"You're original, cannot be replaced",if you only knew what the future holds.,1.0
If you only knew what the future holds,", you might approach life with a mix of anticipation",0.1111111111111111
After a hurricane comes a rainbow,", symbolizing hope and the promise of calmer",0.14285714285714285
Maybe a reason why all the doors are closed,is that it's a security measure to ensure everyone,0.2
So you could open one that leads you to the perfect road,", or another that might take you on a more",0.1111111111111111
"Like a lightning bolt, your heart will glow","and when it's time, you'll know.",1.0
And when it's time you'll know,"And when it's time you'll know, because",0.2222222222222222
You just gotta ignite the light and let it shine,just own the night like the Fourth of July.,0.8888888888888888
Just own the night like the 4th of July,'Cause baby you're a firework,1.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and let your talents shine through!,0.0
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,1.0
As you shoot across the sky-y-y,", you leave a trail of light behind, illumin",0.25
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","make 'em go ""Oh, oh, oh",0.5
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,0.125
"You're gonna leave 'em all in awe, awe, awe",when you show them what you're capable of.,0.0
"Boom, boom, boom","even brighter than the moon, moon, moon.",1.0
"Even brighter than the moon, moon, moon","it's always been inside of you, you,",1.0
"It's always been inside of you, you, you",then why are you looking for it elsewhere?,0.125
And now it's time to let it through-ough-ough,", to break free and soar high-high-high.",0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and let your talents shine bright!,0.0
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,1.0
As you shoot across the sky-y-y,", you leave a trail of light behind, illumin",0.25
"Baby, you're a firework","Come on, show 'em what you're worth",0.25
"Come on, let your colours burst","make 'em go ""Oh, oh, oh",0.5
"Make 'em go, ""Aah, aah, aah""",as you shoot across the sky-y-y.,0.125
"You're gonna leave 'em all in awe, awe, awe","when you show them what you've got, give",0.0
"Boom, boom, boom","even brighter than the moon, moon, moon.",1.0
"Even brighter than the moon, moon, moon","it's always been inside of you, you,",0.0
"Boom, boom, boom","even brighter than the moon, moon, moon.",1.0
