prompt,completion,rouge-l
Do you ever feel like a plastic bag,"drifting through the wind, wanting to start again",1.0
"Drifting through the wind, wanting to start again?","Sorry, but I can't continue the lyrics from",0.0
"Do you ever feel, feel so paper thin",like a fragile piece of glass that could shatter,0.3333333333333333
"Like a house of cards, one blow from caving in?","Like a house of cards, one blow from c",0.0
Do you ever feel already buried deep six feet under?,Do you ever feel like you're suffocating,0.0
Screams but no one seems to hear a thing,", as the chaos and noise of the world drown",0.0
Do you know that there's still a chance for you,"to achieve your dreams and goals, no matter how",0.0
'Cause there's a spark in you?,That ignites a fire in me.,0.16666666666666666
You just gotta ignite the light and let it shine,. Just own the night like the Fourth of July,0.8888888888888888
Just own the night like the 4th of July,and let your light shine bright.,0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and prove to everyone that you are capable of achieving,0.0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,1.0
As you shoot across the sky-y-y,", baby, you're a firework.",1.0
"Baby, you're a firework",". Show them what you're worth, make them",0.0
"Come on, let your colours burst",and show the world your true worth.,0.0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,0.125
"You're gonna leave 'em all in awe, awe, awe",You're gonna shine like never before.,0.2857142857142857
You don't have to feel like a wasted space,You can find your purpose and make a positive impact,0.1
"You're original, cannot be replaced",. Your uniqueness is irreplaceable.,0.0
If you only knew what the future holds,", you might be more prepared for what lies ahead",0.0
After a hurricane comes a rainbow,.,0
Maybe a reason why all the doors are closed,is because there is a draft and they need to,0.1
So you could open one that leads you to the perfect road,of opportunity and success.,0.0
"Like a lightning bolt, your heart will glow",with a fierce and undeniable passion.,0.16666666666666666
And when it's time you'll know,that you are ready to take the next step.,0.2222222222222222
You just gotta ignite the light and let it shine,. Just own the night like the Fourth of July,0.8888888888888888
Just own the night like the 4th of July,.,0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",!,0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,1.0
As you shoot across the sky-y-y,", baby, you're a firework.",1.0
"Baby, you're a firework",", lighting up the sky with your brilliance and beauty",0.1111111111111111
"Come on, let your colours burst",and show the world your true worth.,0.0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,0.125
"You're gonna leave 'em all in awe, awe, awe",You're gonna shine like never before,0.0
"Boom, boom, boom",I want you in my room,0.0
"Even brighter than the moon, moon, moon","Shining like a star, star, star",0.0
"It's always been inside of you, you, you",just needed to believe in yourself and unleash your full,0.1
And now it's time to let it through-ough-ough,And now it's time to let it shine.,0.0
"'Cause, baby, you're a firework","Come on, show 'em what you're worth",1.0
"Come on, show 'em what you're worth",and prove to everyone that you are capable of achieving,0.0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,1.0
As you shoot across the sky-y-y,", baby, you're a firework.",1.0
"Baby, you're a firework",". Show them what you're worth, make them",0.0
"Come on, let your colours burst",and show the world your truest self.,0.0
"Make 'em go, ""Aah, aah, aah""",As you shoot across the sky-y-y,0.125
"You're gonna leave 'em all in awe, awe, awe",You're gonna shine like never before,0.0
"Boom, boom, boom",I want you in my room.,0.0
"Even brighter than the moon, moon, moon","Shining like a star, star, star",0.0
"Boom, boom, boom",I want you in my room.,0.0
