prompt,completion,rouge-l
There's a fire starting in my heart,Reaching a fever pitch and it's bringing{},1.0
Reaching a fever pitch and it's bringing me out the dark,Finally I can see you crystal clear Go{},0.875
Finally I can see you crystal clear,I can see you crystal clear I can{},0.125
Go ahead and sell me out and I'll lay your ship bare,We've got the movement on the floor of{},0.1111111111111111
See how I leave with every piece of you,I'm not the one to blame I{},0.25
Don't underestimate the things that I will do,I'm gonna make you mine I'm{},0.0
There's a fire starting in my heart,Reaching a fever pitch and it's bringing{},0.5
Reaching a fever pitch,", the crowd began to chant “We want the{}",0.125
And it's bringing me out the dark,And it's bringing me out the dark {},0.125
The scars of your love remind me of us,"And how could I forget it, I remember{}",0.125
They keep me thinking that we almost had it all,. I’m not sure if I’ll ever be{},0.0
"The scars of your love, they leave me breathless","I can't help it, I'm a{}",0.5
I can't help feeling,that the whole thing is a bit of a mess{},0.0
We could have had it all,", but we didn't. We could have had{}",0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.0
Rolling in the deep,""" (Adele) - 4:{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
You had my heart inside of your hand,And you played it with your fingers And{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
"And you played it, to the beat","of the drum, and you played it, to{}",0.125
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
"Baby, I have no story to be told",. I am just a simple man who has been{},0.1111111111111111
But I've heard one on you,", and I've heard one on me. I{}",0.25
And I'm gonna make your head burn,I'm gonna make your head burn I{},0.125
Think of me in the depths of your despair,When you are lost and most alone When{},0.0
Make a home down there,", and you’ll be a target for the next{}",0.1111111111111111
As mine sure won't be shared,with you. I'm not sure what you mean{},0.2222222222222222
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
The scars of your love remind me of us,"And how could I forget it, I remember{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
They keep me thinking that we almost had it all,. I’m not sure if I’ll ever be{},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
"The scars of your love, they leave me breathless","I can't help it, I'm a{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
I can't help feeling,that the whole thing is a bit of a mess{},0.0
We could have had it all,", but we didn't. We could have had{}",0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.0
Rolling in the deep,""" (Adele) - 4:{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
You had my heart inside of your hand,And you played it with your fingers And{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
"And you played it, to the beat","of the drum, and you played it, to{}",0.125
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
We could have had it all,", but we didn't. We could have had{}",0.0
Rolling in the deep,""" (Adele) - 4:{}",0.0
You had my heart inside of your hand,And you played it with your fingers And{},0.5
"But you played it, with a beating","heart, and you played it well. You played{}",0.0
Throw your soul through every open door (woah),Count your blessings to find what you look for ({},1.0
Count your blessings to find what you look for (woah),,0
Turn my sorrow into treasured gold (woah),” The song is a beautiful ballad that is{},0.0
You'll pay me back in kind and reap just what you sow(woah),,0
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
We could have had it all,", but we didn't. We could have had{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
We could have had it all,", but we didn't. We could have had{}",0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.0
"It all, it all, it all",", it all, it all, it all,{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
We could have had it all,", but we didn't. We could have had{}",0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.0
Rolling in the deep,""" (Adele) - 4:{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
You had my heart inside of your hand,And you played it with your fingers And{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
And you played it to the beat,of the drum And you played it to the{},0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
We could have had it all,", but we didn't. We could have had{}",0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.0
Rolling in the deep,""" (Adele) - 4:{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling in the{}",0.0
You had my heart inside of your hand,And you played it with your fingers And{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had met me{},0.1111111111111111
But you played it,like a pro. You were a pro. You{},0.125
You played it,"well, but you didn’t play it well enough{}",0.3333333333333333
You played it,"well, but you didn’t play it well enough{}",0.3333333333333333
