prompt,completion,rouge-l
There's a fire starting in my heart,", Reaching a fever pitch and it'{}",1.0
Reaching a fever pitch and it's bringing me out the dark,. I'm gonna give you all{},0.3333333333333333
Finally I can see you crystal clear,Go on and try to tear me down{},0.375
Go ahead and sell me out and I'll lay your ship bare,. I'm not going to sell you{},0.2857142857142857
See how I leave with every piece of you,? I'm not the one who'{},0.16666666666666666
Don't underestimate the things that I will do,". I'm not a bad person,{}",0.16666666666666666
There's a fire starting in my heart,", Reaching a fever pitch and it'{}",0.6666666666666666
Reaching a fever pitch,", the song ends with a final, triumphant{}",0.14285714285714285
And it's bringing me out the dark,. I'm not sure if I'{},0.0
The scars of your love remind me of us,. The scars of your love they leave me{},0.25
They keep me thinking that we almost had it all,. I’m not sure what I’{},0.0
"The scars of your love, they leave me breathless",", I can't help feeling, We could{}",0.7142857142857143
I can't help feeling,that the whole thing is a bit of a con{},0.0
We could have had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
Rolling in the deep,", Adele 10. I’{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
You had my heart inside of your hand,And you played it to the beat But{},0.125
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
"And you played it, to the beat",of your own drum. You were a true{},0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
"Baby, I have no story to be told",". I'm just a simple man,{}",0.16666666666666666
But I've heard one on you,tube that was pretty good. I'{},0.16666666666666666
And I'm gonna make your head burn,. I'm gonna make your head{},0.16666666666666666
Think of me in the depths of your despair,Make a home down there as mine sure won{},0.5555555555555556
Make a home down there,. I'm not sure what I'{},0.16666666666666666
As mine sure won't be shared,with anyone. I'm not sure if{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
The scars of your love remind me of us,. The scars of your love they leave me{},0.125
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
They keep me thinking that we almost had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
"The scars of your love, they leave me breathless",", I can't help feeling, We could{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
I can't help feeling,that the whole thing is a bit of a con{},0.0
We could have had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
Rolling in the deep,", Adele 10. I’{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
You had my heart inside of your hand,And you played it to the beat But{},0.125
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
"And you played it, to the beat",of your own drum. You were a man{},0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
We could have had it all,. I’m not sure what I’{},0.0
Rolling in the deep,", Adele 10. I’{}",0.0
You had my heart inside of your hand,And you played it to the beat But{},0.5
"But you played it, with a beating","heart, and you won it, like a hero{}",0.0
Throw your soul through every open door (woah),Count your blessings to find what you look for{},1.0
Count your blessings to find what you look for (woah),Count your blessings to find what you look{},0.0
Turn my sorrow into treasured gold (woah),"You gotta hold, you gotta hold on{}",0.2857142857142857
You'll pay me back in kind and reap just what you sow(woah),I'm gonna make you pay for{},0.2857142857142857
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.0
We could have had it all,. I’m not sure what I’{},0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
We could have had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.0
"It all, it all, it all",", it all, it all, it all,{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
We could have had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
Rolling in the deep,", Adele 10. I’{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
You had my heart inside of your hand,And you played it to the beat But{},0.125
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
And you played it to the beat,of the music. I was a little bit{},0.125
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
We could have had it all,. I’m not sure what I’{},0.0
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.16666666666666666
Rolling in the deep,", Adele 10. I’{}",0.0
"(Tears are gonna fall, rolling in the deep)","(Tears are gonna fall, rolling{}",0.0
You had my heart inside of your hand,And you played it to the beat But{},0.125
(You're gonna wish you never had met me),I'm the kinda girl who'{},0.0
But you played it,well. I'm not sure what you{},0.14285714285714285
You played it,well. I'm not sure if I{},0.0
You played it,well. I'm not sure if I{},0.0
