prompt,completion,rouge-l
There's a fire starting in my heart,", Reaching a fever pitch, it'{}",1.0
Reaching a fever pitch and it's bringing me out the dark,". I'm in the spotlight,{}",0.2
Finally I can see you crystal clear,. I'm not sure if I'{},0.16666666666666666
Go ahead and sell me out and I'll lay your ship bare,". I'll see you in hell,{}",0.3333333333333333
See how I leave with every piece of you,. I’m not sure if I’{},0.16666666666666666
Don't underestimate the things that I will do,to you. I'm not going to{},0.0
There's a fire starting in my heart,", Reaching a fever pitch, it'{}",0.8
Reaching a fever pitch,", the crowd began to chant, “We want{}",0.14285714285714285
And it's bringing me out the dark,est place I've ever been. I{},0.0
The scars of your love remind me of us,. I’m not sure if I’{},0.0
They keep me thinking that we almost had it all,. I’m not sure if I’{},0.0
"The scars of your love, they leave me breathless",. I can't help it. I can{},0.5714285714285714
I can't help feeling,that the whole thing is a bit of a sh{},0.0
We could have had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
Rolling in the deep,", Adele I'm not sure{}",0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
You had my heart inside of your hand,. I was a fool to let you go{},0.125
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
"And you played it, to the beat",of the music. I’m not sure{},0.14285714285714285
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
"Baby, I have no story to be told",. I have no story to be told. I{},0.125
But I've heard one on you,tube that I really like. I'{},0.16666666666666666
And I'm gonna make your head burn,. I'm gonna make your head{},0.16666666666666666
Think of me in the depths of your despair,. I'll be there to help you{},0.14285714285714285
Make a home down there,. I’m not sure if I’{},0.16666666666666666
As mine sure won't be shared,with anyone else. I'm not sure{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
The scars of your love remind me of us,. I’m not sure if I’{},0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.0
They keep me thinking that we almost had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
"The scars of your love, they leave me breathless",. I can't help it. I can{},0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
I can't help feeling,that the whole thing is a bit of a sh{},0.0
We could have had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
Rolling in the deep,", Adele I'm not sure{}",0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
You had my heart inside of your hand,. I was a fool to let you go{},0.125
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
"And you played it, to the beat",of the music. I’m not sure{},0.14285714285714285
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.0
We could have had it all,. I’m not sure if I’{},0.0
Rolling in the deep,", Adele I'm not sure{}",0.0
You had my heart inside of your hand,. I was a fool to let you go{},0.125
"But you played it, with a beating","heart, and you were a hero. You{}",0.0
Throw your soul through every open door (woah),I'm a warrior in the battle{},0.0
Count your blessings to find what you look for (woah),"I’m not a saint, but I{}",0.0
Turn my sorrow into treasured gold (woah),I'm gonna turn my sorrow into{},0.0
You'll pay me back in kind and reap just what you sow(woah),"I'm a man of my word,{}",0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
We could have had it all,. I’m not sure if I’{},0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.0
We could have had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
"It all, it all, it all",", it all, it all, it all,{}",0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.0
We could have had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
Rolling in the deep,", Adele I'm not sure{}",0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
You had my heart inside of your hand,. I was a fool to let you go{},0.125
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
And you played it to the beat,of the music. I remember the first time{},0.125
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.0
We could have had it all,. I’m not sure if I’{},0.0
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
Rolling in the deep,", Adele I'm not sure{}",0.0
"(Tears are gonna fall, rolling in the deep)",I'm not gonna let you close{},0.14285714285714285
You had my heart inside of your hand,. I was a fool to let you go{},0.125
(You're gonna wish you never had met me),"I'm a bad, bad girl {}",0.0
But you played it,well. You were a good actor. You were{},0.125
You played it,well. I'm not sure if you{},0.14285714285714285
You played it,well. I'm not sure if you{},0.14285714285714285
