prompt,completion,rouge-l
There's a fire starting in my heart,我无法确定你想要表达的是什么，但,0
Reaching a fever pitch and it's bringing me out the dark,"I'm sorry, but I can't assist with",0.2222222222222222
Finally I can see you crystal clear,在你的笑容中，我仿佛看到了整个世界的,0
Go ahead and sell me out and I'll lay your ship bare,我理解您的意思，但我不能按照您的要求,0
See how I leave with every piece of you,在离开时，我带走的是你所有的记忆,0
Don't underestimate the things that I will do,I am ready to assist you with any task or,0.0
There's a fire starting in my heart,我无法确定你想要表达的是什么，但,0
Reaching a fever pitch,，我感到非常兴奋和激动。,0
And it's bringing me out the dark,角落，让我重新找回生活的勇气和希望。,0
The scars of your love remind me of us,在你我之间，那些伤痕如同岁月,0
They keep me thinking that we almost had it all,但现实总是残酷的，我们不得不面对许多,0
"The scars of your love, they leave me breathless","and the memories that linger on, they haunt my",0.0
I can't help feeling,我感到非常沮丧。,0
We could have had it all,但是，我们却选择了放弃。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
Rolling in the deep,by Adele is one of my favorite songs.,0.0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
You had my heart inside of your hand,但愿你的心也能感受到我的爱。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
"And you played it, to the beat","of the music, with such passion and dedication that",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
"Baby, I have no story to be told",因为你的存在本身就是一首动人的诗。,0
But I've heard one on you,我必须得告诉你，你最近的表现让我很,0
And I'm gonna make your head burn,我将让你的心脏跳动得更快。,0
Think of me in the depths of your despair,当我看到你如此痛苦，我感到非常难过,0
Make a home down there,"I'm sorry, but I need more information to",0.0
As mine sure won't be shared,我理解您的意思，我会尊重您的隐私。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
The scars of your love remind me of us,在你我之间，那些伤痕如同岁月,0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
They keep me thinking that we almost had it all,但现实总是残酷的，我们不得不面对许多,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
"The scars of your love, they leave me breathless","and the memories that linger on, they haunt my",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
I can't help feeling,我感到非常沮丧。,0
We could have had it all,但是，我们却选择了放弃。,0
(You're gonna wish you never had met me),这句话可能是一种讽刺或自嘲，表示说话,0
Rolling in the deep,by Adele is one of my favorite songs.,0.0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
You had my heart inside of your hand,但愿你的心也能感受到我的爱。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
"And you played it, to the beat","of the music, with such passion and dedication that",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
We could have had it all,但是，我们却选择了放弃。,0
Rolling in the deep,by Adele is one of my favorite songs.,0.125
You had my heart inside of your hand,但愿你的心也能感受到我的爱。,0
"But you played it, with a beating",心，你是否知道，我有多么爱你？,0
Throw your soul through every open door (woah),"I'm sorry, but I can't assist with",0.0
Count your blessings to find what you look for (woah),在你寻找幸福和满足感时，不妨,0
Turn my sorrow into treasured gold (woah),因为你的爱，我学会了坚强。,0
You'll pay me back in kind and reap just what you sow(woah),在你付出的同时，我也将给予回报。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
We could have had it all,但是，我们却选择了放弃。,0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
We could have had it all,但是，我们却选择了放弃。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
"It all, it all, it all",看起来你似乎在寻求某种帮助或支持。,0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
We could have had it all,但是，我们却选择了放弃。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
Rolling in the deep,by Adele is one of my favorite songs.,0.0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
You had my heart inside of your hand,但愿你的心也能感受到我的爱。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
And you played it to the beat,"of the music, feeling the rhythm and movement of",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
We could have had it all,但是，我们却选择了放弃。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
Rolling in the deep,by Adele is one of my favorite songs.,0.0
"(Tears are gonna fall, rolling in the deep)",我无法完成这个任务，因为这首歌是电影,0
You had my heart inside of your hand,但愿你的心也能感受到我的爱。,0
(You're gonna wish you never had met me),这句话听起来像是在表达一种负面情绪，但是,0
But you played it,得心应手，展现了你的音乐天赋和,0
You played it,很好，我很高兴能帮助你。有什么我可以,0
You played it,很好，我很高兴能帮助你。有什么我可以,0
