prompt,completion,rouge-l
There's a fire starting in my heart,Reaching a fever pitch and it's bringing me,1.0
Reaching a fever pitch and it's bringing me out the dark,.,0
Finally I can see you crystal clear,", and I am ready to move on from the",0.2222222222222222
Go ahead and sell me out and I'll lay your ship bare,.,0
See how I leave with every piece of you,"The completion of the sentence could be: ""See",0.125
Don't underestimate the things that I will do,", because I am capable of achieving great things with",0.0
There's a fire starting in my heart,Reaching a fever pitch and it's bringing me,0.4444444444444444
Reaching a fever pitch,"of excitement, the crowd erupted into cheers and applause",0.1111111111111111
And it's bringing me out the dark,"And it's bringing me out the dark, into",0.1111111111111111
The scars of your love remind me of us,"They will never fade, but I will always cherish",0.1111111111111111
They keep me thinking that we almost had it all,", but in the end, it just wasn't",0.125
"The scars of your love, they leave me breathless",.,0
I can't help feeling,overwhelmed by everything going on in my life right now,0.0
We could have had it all,", but we let it slip away.",0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
Rolling in the deep,", she found herself lost in the darkness.",0.2857142857142857
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,And you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.1
"And you played it, to the beat",of your own drum.,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.1111111111111111
"Baby, I have no story to be told",But I can promise you a lifetime of love and,0.3
But I've heard one on you,"But I've heard one on you, and I",0.2222222222222222
And I'm gonna make your head burn,with the fire that you started in me.,0.125
Think of me in the depths of your despair,"and know that I am always here for you,",0.0
Make a home down there,"where you feel safe, loved, and at peace",0.0
As mine sure won't be shared,with anyone else.,0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
The scars of your love remind me of us,.,0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
They keep me thinking that we almost had it all,", but in the end, it just wasn't",0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
"The scars of your love, they leave me breathless",.,0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.3333333333333333
I can't help feeling,overwhelmed by everything going on in my life right now,0.0
We could have had it all,", but we let it slip away.",0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
Rolling in the deep,", we found ourselves lost in the darkness.",0.2857142857142857
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,And you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.1
"And you played it, to the beat",of your own drum.,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,1.0
Rolling in the deep,We could have had it all,0.16666666666666666
You had my heart inside of your hand,And you played it to the beat.,0.5714285714285714
"But you played it, with a beating",heart and a determined spirit.,0.0
Throw your soul through every open door (woah),Count your blessings to find what you look for,1.0
Count your blessings to find what you look for (woah),Count your blessings to find what you look for (,0.0
Turn my sorrow into treasured gold (woah),You'll pay me back in kind and reap just,1.0
You'll pay me back in kind and reap just what you sow(woah),.,0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
We could have had it all,", but we let it slip away.",0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,", but we let it slip away.",0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
"It all, it all, it all",comes down to perspective.,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
Rolling in the deep,We could have had it all,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,And you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.1
And you played it to the beat,"of your own drum, marching to the rhythm of",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
We could have had it all,rolling in the deep.,0.0
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.0
Rolling in the deep,We could have had it all,0.0
"(Tears are gonna fall, rolling in the deep)","Sorry, but I can't continue the lyrics from",0.0
You had my heart inside of your hand,And you played it to the beat.,0.14285714285714285
(You're gonna wish you never had met me),because I'm about to show you what true heart,0.1
But you played it,"so well, I couldn't help but be impressed",0.0
You played it,"well, but there is always room for improvement.",0.0
You played it,"well, but there is always room for improvement.",0.0
