prompt,completion,rouge-l
There's a fire starting in my heart,", and it's spreading like wild fire. The",0.5
Reaching a fever pitch and it's bringing me out the dark,Reaching a fever pitch and it's bringing me,0.0
Finally I can see you crystal clear,"Finally, I can see you crystal clear, as",0.125
Go ahead and sell me out and I'll lay your ship bare,"As an AI, I'm here to promote positive",0.1111111111111111
See how I leave with every piece of you,"As I step away, I carry with me the",0.1111111111111111
Don't underestimate the things that I will do,不要小看我将要做的事情，因为每一个,0
There's a fire starting in my heart,", and it's spreading like wild fire. The",0.0
Reaching a fever pitch,Reaching a fever pitch means that something has become,0.0
And it's bringing me out the dark,"And it's bringing me out of the darkness,",0.2222222222222222
The scars of your love remind me of us,"The way our hearts once beat as one, now",0.0
They keep me thinking that we almost had it all,They constantly remind me of the moments when everything seemed,0.2
"The scars of your love, they leave me breathless","The depth of your affection, it takes my breath",0.0
I can't help feeling,that something is not quite right about the situation.,0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
Rolling in the deep,"Rolling in the deep, I'm navigating life",0.5
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
You had my heart inside of your hand,那一刻，我仿佛失去了自我，所有的决定和,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
"And you played it, to the beat","of your own heart's rhythm, with an unw",0.0
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
"Baby, I have no story to be told",", but I have my memories to hold. Each",0.25
But I've heard one on you,that really caught my interest. It seems like you,0.0
And I'm gonna make your head burn,And I'm gonna make your head burn with knowledge,0.1
Think of me in the depths of your despair,"Think of me in the depths of your despair,",0.0
Make a home down there,"Make a home down there, and let it be",0.1111111111111111
As mine sure won't be shared,"As mine sure won't be shared, it's",0.0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
The scars of your love remind me of us,"The way our hearts once beat as one, now",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
They keep me thinking that we almost had it all,They constantly remind me of the moments when everything seemed,0.1
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
"The scars of your love, they leave me breathless","The depth of your affection, it takes my breath",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
I can't help feeling,that something is not quite right about the situation.,0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
Rolling in the deep,"Rolling in the deep, I'm navigating life",0.5
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
You had my heart inside of your hand,那一刻，我仿佛失去了自我，所有的决定和,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
"And you played it, to the beat","of your own heart's rhythm, with an unw",0.0
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
Rolling in the deep,"Rolling in the deep, I'm navigating life",0.0
You had my heart inside of your hand,那一刻，我仿佛失去了自我，所有的决定和,0
"But you played it, with a beating","heart and an unwavering spirit, proving that",0.0
Throw your soul through every open door (woah),And let the winds of fate rearrange   Your,0.125
Count your blessings to find what you look for (woah),"When you count your blessings, you open your heart",0.0
Turn my sorrow into treasured gold (woah),"Transforming my tears, I find strength bold,",0.0
You'll pay me back in kind and reap just what you sow(woah),这句话意味着，你将得到与你所做,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
"It all, it all, it all","It all starts with a single step, embracing the",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
Rolling in the deep,"Rolling in the deep, I'm navigating life",0.5
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
You had my heart inside of your hand,那一刻，我仿佛失去了自我，所有的决定和,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
And you played it to the beat,"of the music, your movements fluid and in harmony",0.1111111111111111
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
We could have had it all,如果我们当时做出了不同的选择，也许就能拥有这一切,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
Rolling in the deep,"Rolling in the deep, I'm navigating life",0.5
"(Tears are gonna fall, rolling in the deep)","Tears are gonna fall, rolling in the deep",0.0
You had my heart inside of your hand,那一刻，我仿佛失去了自我，所有的决定和,0
(You're gonna wish you never had met me),一旦你与我相遇，你可能会后悔不,0
But you played it,"But you played it beautifully, showcasing not only your",0.3333333333333333
You played it,"so well that everyone was impressed, and your performance",0.0
You played it,"so well that everyone was impressed, and your performance",0.0
