prompt,completion,rouge-l
There's a fire starting in my heart,Reaching a fever pitch and it's{},1.0
Reaching a fever pitch and it's bringing me out the dark,I'm feeling like I'm {},0.16666666666666666
Finally I can see you crystal clear,. I can see you crystal clear. {},0.16666666666666666
Go ahead and sell me out and I'll lay your ship bare,"."" ""Sell you out. You{}",0.25
See how I leave with every piece of you,And how you leave so little with me {},0.0
Don't underestimate the things that I will do,To prove I'm making the right moves{},0.0
There's a fire starting in my heart,Reaching a fever pitch and it's{},0.5714285714285714
Reaching a fever pitch,", the crowd began to chant, “We{}",0.16666666666666666
And it's bringing me out the dark,And I'm feeling like I'm{},0.0
The scars of your love remind me of us,They keep me thinking that we almost had it{},1.0
They keep me thinking that we almost had it all,. And I keep trying to find myself.{},0.0
"The scars of your love, they leave me breathless",I can't help to think of you{},0.5
I can't help feeling,that the whole thing is a bit of a con{},0.0
We could have had it all,. Rolling in the deep. {},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
Rolling in the deep,""" by Adele. I'm not{}",0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},1.0
You had my heart inside of your hand,And you played it to the beat I{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.14285714285714285
"And you played it, to the beat","of the drum. And you played it,{}",0.14285714285714285
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.0
"Baby, I have no story to be told",. I'm just a man who'{},0.16666666666666666
But I've heard one on you,"."" ""What?"" ""I{}",0.5
And I'm gonna make your head burn,And I'm gonna make you wish you{},0.0
Think of me in the depths of your despair,. I'll be there to catch you{},0.14285714285714285
Make a home down there,. I'm not going to be able{},0.14285714285714285
As mine sure won't be shared,. I'm not sure what you mean{},0.14285714285714285
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
The scars of your love remind me of us,They keep me thinking that we almost had it{},0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.125
They keep me thinking that we almost had it all,. And I keep thinking that you almost loved{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
"The scars of your love, they leave me breathless",I can't help to think of you{},0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.0
I can't help feeling,that the whole thing is a bit of a con{},0.0
We could have had it all,. Rolling in the deep. {},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
Rolling in the deep,""" by Adele. I'm not{}",0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},1.0
You had my heart inside of your hand,And you played it to the beat I{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.14285714285714285
"And you played it, to the beat","of the drum. And you played it,{}",0.14285714285714285
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.125
We could have had it all,. Rolling in the deep. {},1.0
Rolling in the deep,""" by Adele. I'm not{}",0.0
You had my heart inside of your hand,And you played it to the beat I{},0.5
"But you played it, with a beating","heart. You played it, with a beating{}",0.0
Throw your soul through every open door (woah),Cause you know that perfect gifts are rare {},0.125
Count your blessings to find what you look for (woah),Count your blessings to find what you look for{},0.0
Turn my sorrow into treasured gold (woah),And you'll find your way back home{},0.375
You'll pay me back in kind and reap just what you sow(woah),"You'll get what you deserve, it{}",0.2857142857142857
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.14285714285714285
We could have had it all,. Rolling in the deep. {},1.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.125
We could have had it all,. Rolling in the deep. {},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
"It all, it all, it all",", it all, it all, it all,{}",0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.125
We could have had it all,. Rolling in the deep. {},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
Rolling in the deep,""" by Adele. I'm not{}",0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},1.0
You had my heart inside of your hand,And you played it to the beat I{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.14285714285714285
And you played it to the beat,of the drum. And you played it to{},0.125
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},0.125
We could have had it all,. Rolling in the deep. {},0.0
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.0
Rolling in the deep,""" by Adele. I'm not{}",0.0
"(Tears are gonna fall, rolling in the deep)",(You had my heart inside of your hand{},1.0
You had my heart inside of your hand,And you played it to the beat I{},0.125
(You're gonna wish you never had met me),(You're gonna wish you never had{},0.14285714285714285
But you played it,", and you played it well. I'{}",0.5
You played it,"well,"" he said. ""You played it{}",0.5
You played it,"well,"" he said. ""You played it{}",0.5
