prompt,completion,rouge-l
The club isn't the best place to find a lover,so the bar is where I go.,1.0
So the bar is where I go,"to unwind, meet friends, and enjoy a drink",0.125
Me and my friends at the table doing shots,drinking fast and then we talk slow.,0.8571428571428571
Drinking faster and then we talk slow,"The sentence you provided, ""Drinking faster and",0.2857142857142857
You come over and start up a conversation with just me,and trust me I'll give it a chance now,1.0
And trust me I'll give it a chance now,And trust me I'll give it a chance now,0.0
"Take my hand, stop, Put Van The Man on the jukebox","and then we start to dance, and now I",1.0
"And then we start to dance, and now I'm singing like","nobody's watching, feeling the rhythm take over",0.0
"Girl, you know I want your love",Your love was handmade for somebody like me.,1.0
Your love was handmade for somebody like me,"Come on now, follow my lead.",1.0
"Come on now, follow my lead",", let's make this night unforgettable!",0.0
"I may be crazy, don't mind me, say","boy, let's not talk too much, grab",0.875
"Boy, let's not talk too much",Grab on my waist and keep me warm.,0.75
Grab on my waist and put that body on me,"Sorry, but I can't continue the lyrics from",0.0
"Come on now, follow my lead",", let's make this night one to remember!",0.0
"Come—come on now, follow my lead",and let's make this a night to remember!,0.0
I'm in love with the shape of you,We push and pull like a magnet do.,1.0
We push and pull like a magnet do,Although your sentence is reminiscent of lyrics from the song,0.2
Although my heart is falling too,", I'm in love with your body.",1.0
I'm in love with your body,I'm in love with your body of work and,0.1
And last night you were in my room,"And last night you were in my room, and",0.2222222222222222
And now my bedsheets smell like you,every night I fall asleep wrapped in the memory of,0.1
Every day discovering something brand new,Every day discovering something brand new is like opening a,0.0
I'm in love with your body,I'm in love with your body of work and,0.1
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,I'm in love with your body of work and,0.1
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,I'm in love with your body of work and,0.1
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,I'm in love with your body of work and,0.0
Every day discovering something brand new,Every day discovering something brand new is a testament to,0.0
I'm in love with the shape of you,", we push and pull like a magnet do.",0.125
One week in we let the story begin,we're going out on our first date.,1.0
We're going out on our first date,and I'm really excited to get to know you,0.2
But you and me are thrifty so go all you can eat,as we fill our plates with a little bit of,0.2
Fill up your bag and I fill up a plate,with some delicious food to enjoy together.,0.0
We talk for hours and hours about the sweet and the sour,and how your family is doing okay.,0.8571428571428571
And how your family is doin' okay,"And how your family is doin' okay,",0.14285714285714285
"And leave and get in a taxi, we kiss in the backseat","Tell the driver make the radio play, and I",1.0
"Tell the driver make the radio play, and I'm singing like","nobody's listening, dancing in my seat to",0.0
