prompt,completion,rouge-l
The club isn't the best place to find a lover,so the bar is where I go.,1.0
So the bar is where I go,"to unwind after a long day, catch up with",0.0
Me and my friends at the table doing shots,"Me and my friends at the table doing shots,",0.1111111111111111
Drinking faster and then we talk slow,"""Drinking faster and then we talk slow""",0.14285714285714285
You come over and start up a conversation with just me,"and somehow we end up talking for hours, losing",0.1111111111111111
And trust me I'll give it a chance now,"Sure! Here's a possible continuation:

""And trust me",0.0
"Take my hand, stop, Put Van The Man on the jukebox","and then we start to dance, and now I'm",1.0
"And then we start to dance, and now I'm singing like","""And then we start to dance, and now I'm",0.1
"Girl, you know I want your love","Sorry, but I can't continue the lyrics from the",0.0
Your love was handmade for somebody like me,"Sure, here's a continuation of that sentence:

""",0.0
"Come on now, follow my lead","and I may be crazy, don't mind me.",0.8888888888888888
"I may be crazy, don't mind me, say","""I may be crazy, don't mind me, say",0.0
"Boy, let's not talk too much",because sometimes silence speaks louder than words.,0.0
Grab on my waist and put that body on me,"Sorry, but I can't continue the lyrics from the",0.0
"Come on now, follow my lead","and I may be crazy, don't mind me.",0.0
"Come—come on now, follow my lead","Come—come on now, follow my lead,",0.0
I'm in love with the shape of you,and the way you move.,0.2
We push and pull like a magnet do,We push and pull like a magnet does.,0.0
Although my heart is falling too,"Although my heart is falling too, I know I",0.1111111111111111
I'm in love with your body,"because it feels like home to me, every curve",0.0
And last night you were in my room,"And last night you were in my room, and",0.2222222222222222
And now my bedsheets smell like you,"And now my bedsheets smell like you, a",0.0
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
I'm in love with your body,"because it feels like home to me, every curve",0.0
Oh—i—oh—i—oh—i—oh—i,"Sorry, but I can't continue the text in that",0.1
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,"because it feels like home to me, a place",0.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,"because it feels like home to me, a place",0.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,"—i—oh, I can't seem to get",0.125
I'm in love with your body,", every curve and edge, every detail that makes",0.125
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
I'm in love with the shape of you,because every curve and edge tells a story that captiv,0.1
One week in we let the story begin,"One week in we let the story begin, our",0.2222222222222222
We're going out on our first date,"We're going out on our first date tonight, and",0.1
But you and me are thrifty so go all you can eat,"at the Sizzler buffet, where we can",0.0
Fill up your bag and I fill up a plate,Fill up your bag and I'll fill up a plate,0.09090909090909091
We talk for hours and hours about the sweet and the sour,", how life can be both a blessing and a",0.1111111111111111
And how your family is doin' okay,"And how your family is doin' okay,",0.14285714285714285
"And leave and get in a taxi, we kiss in the backseat","Sorry, but I can't continue the lyrics from the",0.2
"Tell the driver make the radio play, and I'm singing like","""Tell the driver make the radio play, and",0.0
"Girl, you know I want your love","""Girl, you know I want your love,",0.2857142857142857
Your love was handmade for somebody like me,"Sure, here's a continuation of that sentence:

""",0.0
"Come on now, follow my lead","and I may be crazy, don't mind me.",0.8888888888888888
"I may be crazy, don't mind me, say","""I may be crazy, don't mind me, say",0.0
"Boy, let's not talk too much",because sometimes silence speaks louder than words.,0.0
Grab on my waist and put that body on me,"Sorry, but I can't continue the lyrics from the",0.0
"Come on now, follow my lead","and I may be crazy, don't mind me.",0.0
"Come—come on now, follow my lead",and let's see where this adventure takes us.,0.0
I'm in love with the shape of you,because every curve and edge tells a story that captiv,0.2
We push and pull like a magnet do,We push and pull like a magnet does.,0.0
Although my heart is falling too,"Although my heart is falling too, I try to",0.1111111111111111
I'm in love with your body,", every curve and edge, every detail that makes",0.125
And last night you were in my room,"And last night you were in my room, and",0.2222222222222222
And now my bedsheets smell like you,"And now my bedsheets smell like you, a",0.0
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
I'm in love with your body,because every curve and line tells a story that captiv,0.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,because every curve and line tells a story that captiv,0.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,0.2
I'm in love with your body,"because it feels like home to me, a place",0.0
Oh—i—oh—i—oh—i—oh—i,Oh—i—oh—i—oh—,1.0
Oh—i—oh—i—oh—i—oh—i,"—i—oh, I can't seem to get",0.0
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
I'm in love with the shape of you,and the way you move.,0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.2
I'm in love with the shape of you,because every curve and edge tells a story that captiv,0.2
We push and pull like a magnet too,", and every touch feels like a spark igniting",0.0
Although my heart is falling too,"Although my heart is falling too, I know I",0.1111111111111111
I'm in love with your body,"because it feels like home to me, a place",0.0
And last night you were in my room,"And last night you were in my room, and",0.2222222222222222
And now my bedsheets smell like you,"And now my bedsheets smell like you, bringing",0.0
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
I'm in love with your body,and the way you move. Every moment with you,0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.1
I'm in love with your body,and the way you move. Every moment with you,0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.1
I'm in love with your body,and the way you move. Every moment with you,0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.0
"Come on, be my baby, come on","Sorry, but I can't continue the lyrics from the",0.1
I'm in love with your body,"because it feels like home to me, a place",0.0
Every day discovering something brand new,"Every day discovering something brand new, we find joy",0.0
