prompt,completion,rouge-l
The club isn't the best place to find a lover,. The club is the best place to find{},0.25
So the bar is where I go,to get a drink. The bar is where{},0.125
Me and my friends at the table doing shots,of tequila. I was in a{},0.0
Drinking faster and then we talk slow,. I'm a little bit of both{},0.14285714285714285
You come over and start up a conversation with just me,and my friend. You ask us if we want{},0.1111111111111111
And trust me I'll give it a chance now,. I'm not sure if I should{},0.0
"Take my hand, stop, Put Van The Man on the jukebox",", and let's go. I'{}",0.4
"And then we start to dance, and now I'm singing like",a bird. I'm singing like a{},0.14285714285714285
"Girl, you know I want your love",", I want your only love And there'{}",0.2857142857142857
Your love was handmade for somebody like me,. I'm not the only one who{},0.0
"Come on now, follow my lead","."" The two of them walked through the{}",0.0
"I may be crazy, don't mind me, say",what you want. I'm just a{},0.0
"Boy, let's not talk too much",about that. I'm not sure if{},0.14285714285714285
Grab on my waist and put that body on me,". I'm gonna make you scream,{}",0.0
"Come on now, follow my lead","."" The two of them walked through the{}",0.0
"Come—come on now, follow my lead",.” “I’m not going to{},0.4
I'm in love with the shape of you,I can give you all the world But{},0.0
We push and pull like a magnet do,". We are the same, we are different{}",0.0
Although my heart is falling too,"fast, I'm still here to stay.{}",0.2857142857142857
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
And last night you were in my room,. I was in your room? You{},0.16666666666666666
And now my bedsheets smell like you,. I'm not sure if I should{},0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,", I'm in love with your body.{}",0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
I'm in love with the shape of you,I can give you all the world But{},0.125
One week in we let the story begin,. The first week of the new year is{},0.125
We're going out on our first date,"."" ""I'm going to be{}",0.2
But you and me are thrifty so go all you can eat,. I like big butts and I cannot{},0.2857142857142857
Fill up your bag and I fill up a plate,". I'm not a vegetarian, but{}",0.0
We talk for hours and hours about the sweet and the sour,", the good and the bad. We talk about{}",0.125
And how your family is doin' okay,"?"" ""I'm fine, thanks{}",0.0
"And leave and get in a taxi, we kiss in the backseat",", and I’m crying. I don{}",0.5
"Tell the driver make the radio play, and I'm singing like",a bird. I'm singing like a{},0.14285714285714285
"Girl, you know I want your love",", I want your only love And there'{}",0.2857142857142857
Your love was handmade for somebody like me,. I'm not the only one who{},0.0
"Come on now, follow my lead","."" The two of them walked through the{}",0.0
"I may be crazy, don't mind me, say",what you want. I'm just a{},0.0
"Boy, let's not talk too much",about that. I'm not sure if{},0.14285714285714285
Grab on my waist and put that body on me,". I'm gonna make you scream,{}",0.0
"Come on now, follow my lead","."" The two of them walked through the{}",0.0
"Come—come on now, follow my lead",.” “I’m not going to{},0.4
I'm in love with the shape of you,I can give you all the world But{},0.0
We push and pull like a magnet do,". We are the same, we are different{}",0.0
Although my heart is falling too,"fast, I'm still here to stay.{}",0.2857142857142857
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
And last night you were in my room,. I was in your room? You{},0.16666666666666666
And now my bedsheets smell like you,. I'm not sure if I should{},0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
I'm in love with the shape of you,I can give you all the world But{},0.0
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.3333333333333333
I'm in love with the shape of you,I can give you all the world But{},0.0
We push and pull like a magnet too,". We are attracted to each other, and{}",0.0
Although my heart is falling too,"fast, I'm still here to stay.{}",0.2857142857142857
I'm in love with your body,", I'm in love with your body.{}",0.14285714285714285
And last night you were in my room,. I was in your room? You{},0.16666666666666666
And now my bedsheets smell like you,. I'm not sure if I should{},0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
I'm in love with your body,", I'm in love with your body.{}",0.0
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.3333333333333333
I'm in love with your body,", I'm in love with your body.{}",0.0
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.3333333333333333
I'm in love with your body,", I'm in love with your body.{}",0.0
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.5
"Come on, be my baby, come on",", be my baby. I'm gonna{}",0.3333333333333333
I'm in love with your body,", I'm in love with your body.{}",0.0
Every day discovering something brand new,. I'm a 20 year{},0.4
