prompt,completion,rouge-l
The club isn't the best place to find a lover,但是，它可能是一个很好的地方去结识,0
So the bar is where I go,每次我感到压力大或者需要放松的时候，,0
Me and my friends at the table doing shots,我拿起一杯酒，递给朋友，我们一起举,0
Drinking faster and then we talk slow,"I'm sorry, but I can't assist with",0.1111111111111111
You come over and start up a conversation with just me,"""嗨，你好！我叫小明。",0
And trust me I'll give it a chance now,我也会尝试着去接受它。,0
"Take my hand, stop, Put Van The Man on the jukebox",唱起那首《Van The Man》，我们,0.0
"And then we start to dance, and now I'm singing like",a bird in the sky.,0.0
"Girl, you know I want your love",But I can't give it to you right now,0.0
Your love was handmade for somebody like me,你的爱是为我定制的，就像为你,0
"Come on now, follow my lead",让我们一起前进，不要犹豫。,0
"I may be crazy, don't mind me, say","""Sure, I won't mind you being crazy",0.0
"Boy, let's not talk too much",Let's just go out and have some fun together,0.1
Grab on my waist and put that body on me,"I'm sorry, but I can't assist with",0.0
"Come on now, follow my lead",让我们一起前进，不要犹豫。,0
"Come—come on now, follow my lead",让我们一起前进，不要犹豫。,0
I'm in love with the shape of you,and the way you move like no one's watching,0.2
We push and pull like a magnet do,，它们之间的吸引力和排斥力是如此之,0
Although my heart is falling too,我无法接受这一切，但我必须坚强地面对,0
I'm in love with your body,但是，我更爱你的心。,0
And last night you were in my room,看着你，我感到非常温暖和安心。,0
And now my bedsheets smell like you,我感到非常抱歉，我的行为伤害了你,0
Every day discovering something brand new,是的，每一天都充满了无限的可能性和惊喜,0
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
I'm in love with your body,但是，我更爱你的心。,0
Every day discovering something brand new,是的，每一天都充满了无限的可能性和惊喜,0
I'm in love with the shape of you,and the way you move like no one's watching,0.1
One week in we let the story begin,在接下来的一周里，我们决定让故事,0
We're going out on our first date,你准备好了吗？我们去哪里呢？,0
But you and me are thrifty so go all you can eat,我们俩都是节俭的人，所以尽情享用,0
Fill up your bag and I fill up a plate,"I'll be right behind you, ready to help",0.0
We talk for hours and hours about the sweet and the sour,"of life, but rarely do we discuss the bitter",0.0
And how your family is doin' okay,？,0
"And leave and get in a taxi, we kiss in the backseat",and then I'll take you home.,0.2857142857142857
"Tell the driver make the radio play, and I'm singing like",a bird in the sky.,0.0
"Girl, you know I want your love",But I can't give it to you right now,0.0
Your love was handmade for somebody like me,你的爱是为我定制的，就像为你,0
"Come on now, follow my lead",让我们一起前进，不要犹豫。,0
"I may be crazy, don't mind me, say","""Sure, I won't mind you being crazy",0.0
"Boy, let's not talk too much",Let's just go out and have some fun together,0.1
Grab on my waist and put that body on me,"I'm sorry, but I can't assist with",0.0
"Come on now, follow my lead",让我们一起前进，不要犹豫。,0
"Come—come on now, follow my lead",让我们一起前进，不要犹豫。,0
I'm in love with the shape of you,and the way you move like no one's watching,0.2
We push and pull like a magnet do,，它们之间的吸引力和排斥力是如此之,0
Although my heart is falling too,我无法接受这一切，但我必须坚强地面对,0
I'm in love with your body,但是，我更爱你的心。,0
And last night you were in my room,看着你，我感到非常温暖和安心。,0
And now my bedsheets smell like you,我感到非常抱歉，但我只是在描述一个,0
Every day discovering something brand new,是的，每一天都充满了无限的可能性和惊喜,0
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
I'm in love with your body,但是，我更爱你的心。,0
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.125
Oh—i—oh—i—oh—i—oh—i,"Sorry, I didn't understand that. Could you",0.0
Every day discovering something brand new,是的，每一天都充满了无限的可能性和惊喜,0
