prompt,completion,rouge-l
The club isn't the best place to find a lover,So the bar is where I go Me{},0.875
So the bar is where I go,to get my drink on. I’m not a{},0.1111111111111111
Me and my friends at the table doing shots,of tequila and eating tacos. I was so{},0.125
Drinking faster and then we talk slow,And you're coming over in your heels and{},0.4444444444444444
You come over and start up a conversation with just me,. You don’t even look at my friends.{},0.0
And trust me I'll give it a chance now,that I know it's not a sequel to the{},0.1
"Take my hand, stop, Put Van The Man on the jukebox",", And let me here you sing, Darling,{}",0.2857142857142857
"And then we start to dance, and now I'm singing like",a canary Swaying to the band{},0.0
"Girl, you know I want your love",Your love was handmade for somebody like me {},1.0
Your love was handmade for somebody like me,It's like it was made to order {},0.0
"Come on now, follow my lead","Come on now, follow my lead Come{}",0.0
"I may be crazy, don't mind me, say",hello to my little friend!{},0.0
"Boy, let's not talk too much",about that. I'm not sure I want to{},0.1111111111111111
Grab on my waist and put that body on me,"Soon as I say, ""Go,"" baby{}",0.0
"Come on now, follow my lead","Come on now, follow my lead Come{}",0.8571428571428571
"Come—come on now, follow my lead",. I’ll show you how to do it.” {},0.25
I'm in love with the shape of you,We push and pull like a magnet do {},1.0
We push and pull like a magnet do,I ain't afraid to say I love you{},0.0
Although my heart is falling too,I can't stop loving you I've{},0.25
I'm in love with your body,I'm in love with your body I{},0.125
And last night you were in my room,And now they're going to send me away{},0.2222222222222222
And now my bedsheets smell like you,And you're making a boy out of me{},0.0
Every day discovering something brand new,is the vital to success. You can really feel{},0.0
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,I'm in love with your body I{},0.0
Every day discovering something brand new,is the vital to success. You can really feel{},0.2222222222222222
I'm in love with the shape of you,We push and pull like a magnet do {},0.125
One week in we let the story begin,to unfold. We had a few ideas of what{},0.1111111111111111
We're going out on our first date,tonight. I'm so excited. I'm going{},0.25
But you and me are thrifty so go all you can eat,I'll have the special and you have a{},0.2222222222222222
Fill up your bag and I fill up a plate,for you. You can eat it here or take{},0.1111111111111111
We talk for hours and hours about the sweet and the sour,"and the bitter and the tangy, but as{}",0.125
And how your family is doin' okay,And I'm sorry I didn't see you{},0.1111111111111111
"And leave and get in a taxi, we kiss in the backseat","Tell the driver make the radio play, and{}",1.0
"Tell the driver make the radio play, and I'm singing like","a star, that's what I'm saying {}",0.125
"Girl, you know I want your love",Your love was handmade for somebody like me {},1.0
Your love was handmade for somebody like me,It's like it was made to order {},0.0
"Come on now, follow my lead","Come on now, follow my lead Come{}",0.0
"I may be crazy, don't mind me, say",hello to my little friend!{},0.0
"Boy, let's not talk too much",about that. I'm not sure I want to{},0.1111111111111111
Grab on my waist and put that body on me,"Soon as I say, ""Go,"" baby{}",0.0
"Come on now, follow my lead","Come on now, follow my lead Come{}",0.8571428571428571
"Come—come on now, follow my lead",. I’ll show you how to do it.” {},0.25
I'm in love with the shape of you,We push and pull like a magnet do {},1.0
We push and pull like a magnet do,I ain't afraid to say I love you{},0.0
Although my heart is falling too,I can't stop loving you I've{},0.25
I'm in love with your body,I'm in love with your body I{},0.125
And last night you were in my room,And now they're going to send me away{},0.2222222222222222
And now my bedsheets smell like you,And you're making a boy out of me{},0.0
Every day discovering something brand new,is the vital to success. You can really feel{},0.0
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.2
I'm in love with your body,I'm in love with your body I{},0.25
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},1.0
Oh—i—oh—i—oh—i—oh—i,—oh—i—oh—i—oh{},0.0
Every day discovering something brand new,is the vital to success. You can really feel{},0.2222222222222222
I'm in love with the shape of you,We push and pull like a magnet do {},0.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",0.0
I'm in love with the shape of you,We push and pull like a magnet do {},0.875
We push and pull like a magnet too,I can’t tell you what’s coming next{},0.0
Although my heart is falling too,I can't stop loving you I've{},0.25
I'm in love with your body,I'm in love with your body I{},0.125
And last night you were in my room,And now they're going to send me away{},0.2222222222222222
And now my bedsheets smell like you,And you're making a boy out of me{},0.0
Every day discovering something brand new,is the vital to success. You can really feel{},0.0
I'm in love with your body,I'm in love with your body I{},0.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",1.0
"Come on, be my baby, come on","Come on, be my baby, come on{}",0.0
