prompt,completion,rouge-l
The club isn't the best place to find a lover,", but it can be a fun and social environment",0.0
So the bar is where I go,"to unwind after a long day, to catch up",0.0
Me and my friends at the table doing shots,", the laughter echoing in the room as we shared",0.1111111111111111
Drinking faster and then we talk slow,"After drinking at a quicker pace, we can slow",0.1111111111111111
You come over and start up a conversation with just me,", and before you know it, we're sharing",0.25
And trust me I'll give it a chance now,"And trust me, I'll give it a chance",0.0
"Take my hand, stop, Put Van The Man on the jukebox",and let's lose ourselves in the rhythm of the,0.1
"And then we start to dance, and now I'm singing like","""And now my heart is singing along with the rhythm",0.0
"Girl, you know I want your love","Girl, you know I want your love to grow",0.2222222222222222
Your love was handmade for somebody like me,"Your affection, crafted with such care and precision,",0.0
"Come on now, follow my lead",，让我们一起迈出步伐。就像在跳舞时,0
"I may be crazy, don't mind me, say","""I understand you might think I'm a bit off",0.0
"Boy, let's not talk too much",about things that don't matter. Let's focus,0.1111111111111111
Grab on my waist and put that body on me,"I'm sorry, but the sentence you've provided",0.0
"Come on now, follow my lead",，让我们一起迈出步伐。就像在跳舞时,0
"Come—come on now, follow my lead","Sure, let's do this together! Just watch",0.0
I'm in love with the shape of you,I can't help but admire the way you carry,0.0
We push and pull like a magnet do,"We move closer together, our hearts beating in sync",0.1111111111111111
Although my heart is falling too,", 我依然选择勇敢地面对。虽然",0
I'm in love with your body,"As an AI, I don't have a physical",0.0
And last night you were in my room,", I found you sitting on my bed, surrounded",0.125
And now my bedsheets smell like you,"And now, every time I lie down on those",0.1111111111111111
Every day discovering something brand new,Every day discovering something brand new is like unwr,0.0
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.125
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.125
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.125
I'm in love with your body,"As an AI, I don't have a physical",0.0
Every day discovering something brand new,Every day discovering something brand new is like unwr,0.0
I'm in love with the shape of you,I can't help but admire the way you carry,0.1
One week in we let the story begin,"One week from now, the narrative will unfold,",0.0
We're going out on our first date,", and I'm a bit nervous but excited at",0.1111111111111111
But you and me are thrifty so go all you can eat,"""But you and I are budget-conscious, so let",0.2222222222222222
Fill up your bag and I fill up a plate,"for you. As you're packing your belongings,",0.125
We talk for hours and hours about the sweet and the sour,"of life, sharing our deepest thoughts and experiences.",0.125
And how your family is doin' okay,"And how your family is doing just fine, thank",0.1111111111111111
"And leave and get in a taxi, we kiss in the backseat","As you step out of the restaurant, the cool",0.2222222222222222
"Tell the driver make the radio play, and I'm singing like",a bird in the sky. As the music fills,0.0
"Girl, you know I want your love","Girl, you know I want your love to grow",0.2222222222222222
Your love was handmade for somebody like me,"Your affection, crafted with such care and precision,",0.0
"Come on now, follow my lead",，让我们一起迈出步伐。就像在跳舞时,0
"I may be crazy, don't mind me, say","""I understand you might think I'm a bit off",0.0
"Boy, let's not talk too much",about things that don't matter. Let's focus,0.1111111111111111
Grab on my waist and put that body on me,"I'm sorry, but the sentence you've provided",0.0
"Come on now, follow my lead",，让我们一起迈出步伐。就像在跳舞时,0
"Come—come on now, follow my lead","Sure, let's do this together! Just watch",0.0
I'm in love with the shape of you,I can't help but admire the way you carry,0.0
We push and pull like a magnet do,"We move closer together, our hearts beating in sync",0.1111111111111111
Although my heart is falling too,", 我依然选择勇敢地面对。虽然",0
I'm in love with your body,"As an AI, I don't have a physical",0.0
And last night you were in my room,", I found you sitting on my bed, surrounded",0.125
And now my bedsheets smell like you,"And now, every time I lie down on those",0.1111111111111111
Every day discovering something brand new,Every day discovering something brand new is like unwr,0.0
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.125
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.125
I'm in love with your body,"As an AI, I don't have a physical",0.1111111111111111
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.25
Oh—i—oh—i—oh—i—oh—i,"Oh, I see! It seems like you're",0.0
Every day discovering something brand new,Every day discovering something brand new is like unwr,0.0
I'm in love with the shape of you,I can't help but admire the way you carry,0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
"Come on, be my baby, come on","Sure, let's continue the playful and affectionate",0.0
