prompt,completion,rouge-l
The club isn't the best place to find a lover,", but the dim lights, pulsing music,",0.16666666666666666
So the bar is where I go,So the bar is where I go to unwind after,0.1
Me and my friends at the table doing shots,"and laughing, our faces flushed with the warmth of",0.1111111111111111
Drinking faster and then we talk slow,"Drinking faster and then we talk slow, Under",0.125
You come over and start up a conversation with just me,You come over and start up a conversation with just,0.2
And trust me I'll give it a chance now,"And trust me, I'll give it a chance",0.0
"Take my hand, stop, Put Van The Man on the jukebox","Take my hand, stop, put Van The Man",0.0
"And then we start to dance, and now I'm singing like","this: ""Under the moonlight, in the",0.0
"Girl, you know I want your love","Girl, you know I want your love, like",0.375
Your love was handmade for somebody like me,"Your love was handmade for somebody like me, tailored",0.0
"Come on now, follow my lead","Come on now, follow my lead, Through the",0.0
"I may be crazy, don't mind me, say","I may be crazy, don't mind me,",0.0
"Boy, let's not talk too much","Boy, let's not talk too much; sometimes",0.0
Grab on my waist and put that body on me,As you grab onto my waist and place your body,0.1
"Come on now, follow my lead","Come on now, follow my lead, Through the",0.75
"Come—come on now, follow my lead","Come—come on now, follow my lead,",0.0
I'm in love with the shape of you,"We push and pull like a magnet do, Although",0.8888888888888888
We push and pull like a magnet do,"We push and pull like a magnet does, attracting",0.0
Although my heart is falling too,"Although my heart is falling too, like leaves from",0.0
I'm in love with your body,"Every inch of your skin, every curve and line",0.1111111111111111
And last night you were in my room,"And last night you were in my room, sitting",0.2222222222222222
And now my bedsheets smell like you,"And now my bedsheets smell like you, A",0.0
Every day discovering something brand new,"Every day, discovering something brand new, whether it",0.0
I'm in love with your body,"Every inch of your skin, every curve and line",0.0
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.2857142857142857
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.14285714285714285
I'm in love with your body,"Every inch of your skin, every curve and line",0.0
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.2857142857142857
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.14285714285714285
I'm in love with your body,"Every inch of your skin, every curve and line",0.0
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.2857142857142857
Oh—i—oh—i—oh—i—oh—i,"—oh—i, the rhythm of the sea",0.14285714285714285
I'm in love with your body,"Every inch of your skin, every curve and line",0.1111111111111111
Every day discovering something brand new,"Every day, discovering something brand new, whether it",0.0
I'm in love with the shape of you,"We push and pull like a magnet do, Although",0.1111111111111111
One week in we let the story begin,"One week in, we let the story begin,",0.125
We're going out on our first date,"tonight, and I'm planning to take her",0.125
But you and me are thrifty so go all you can eat,"But you and me, we're thrifty,",0.14285714285714285
Fill up your bag and I fill up a plate,with all the food that you'd love to take,0.1
We talk for hours and hours about the sweet and the sour,We talk for hours and hours about the sweet and,0.1
And how your family is doin' okay,"And how your family is doing, okay? I",0.125
"And leave and get in a taxi, we kiss in the backseat","And leave and get in a taxi, we kiss",0.1111111111111111
"Tell the driver make the radio play, and I'm singing like","""Turn that dial, let the music set us",0.0
